po_line_id,po_id,product_id,quantity_ordered,quantity_received,unit_cost,line_total
56,7,363,24,24,108.42,2602.08
57,8,372,1,1,57.76,57.76
58,8,374,24,24,38.84,932.16
59,8,375,24,24,128.67,3088.08
60,8,378,12,12,30.08,360.96
61,8,379,12,12,91.53,1098.36
62,8,380,24,24,63.50,1524.00
63,8,381,24,24,68.50,1644.00
64,8,382,6,6,54.86,329.16
65,8,385,13,13,31.62,411.06
66,8,387,12,12,67.52,810.24
67,8,388,12,12,148.86,1786.32
68,8,389,24,24,43.88,1053.12
69,8,391,6,6,56.21,337.26
70,8,396,1,1,100.05,100.05
71,8,397,12,12,35.36,424.32
72,8,400,12,12,109.60,1315.20
73,8,401,9,9,60.00,540.00
74,8,403,6,6,91.18,547.08
75,8,404,24,24,94.71,2273.04
76,8,406,6,6,51.67,310.02
77,8,409,6,6,109.26,655.56
78,8,410,24,24,90.96,2183.04
79,8,412,60,60,133.58,8014.80
80,8,415,12,12,187.95,2255.40
81,8,416,24,24,101.44,2434.56
82,8,417,12,12,189.13,2269.56
83,8,423,24,24,124.01,2976.24
84,8,428,18,18,68.35,1230.30
85,8,429,12,12,299.56,3594.72
86,8,430,6,6,182.98,1097.88
87,8,431,43,43,81.59,3508.37
88,8,432,8,8,152.74,1221.92
89,8,435,12,12,95.17,1142.04
90,9,436,24,24,43.61,1046.64
91,9,440,12,12,118.91,1426.92
92,9,441,12,12,127.82,1533.84
93,9,443,12,12,101.39,1216.68
94,9,445,12,12,81.86,982.32
95,9,446,12,12,32.52,390.24
96,9,447,2,2,73.51,147.02
97,9,448,6,6,34.04,204.24
98,9,450,12,12,166.44,1997.28
99,9,451,6,6,68.57,411.42
100,9,452,2,2,46.72,93.44
101,9,454,12,12,154.06,1848.72
102,9,456,6,6,80.44,482.64
103,9,457,1,1,72.47,72.47
104,9,459,6,6,65.95,395.70
105,9,460,6,6,60.71,364.26
106,9,462,24,24,66.07,1585.68
107,9,463,12,12,125.38,1504.56
108,9,464,24,24,144.68,3472.32
109,9,465,24,24,43.02,1032.48
110,10,474,1,1,69.52,69.52
111,10,480,12,12,197.17,2366.04
112,10,482,12,12,87.66,1051.92
113,10,484,12,12,103.13,1237.56
114,10,491,6,6,105.63,633.78
115,10,492,12,12,137.89,1654.68
116,10,493,6,6,57.13,342.78
117,10,496,12,12,53.48,641.76
118,10,498,12,12,56.08,672.96
119,10,502,24,24,155.18,3724.32
120,10,506,6,6,93.92,563.52
121,10,507,24,24,73.73,1769.52
122,10,508,6,6,191.89,1151.34
123,10,509,3,3,123.77,371.31
124,10,511,12,12,124.48,1493.76
125,10,514,24,24,95.61,2294.64
126,10,515,6,6,147.14,882.84
127,10,518,12,12,111.19,1334.28
128,10,519,6,6,101.49,608.94
129,10,520,12,12,200.93,2411.16
130,10,523,6,6,67.09,402.54
131,10,525,6,6,59.03,354.18
132,10,527,12,12,180.13,2161.56
133,10,529,1,1,219.86,219.86
134,10,533,6,6,91.11,546.66
135,10,534,1,1,99.40,99.40
136,11,536,6,6,169.05,1014.30
137,11,540,12,12,170.52,2046.24
138,11,541,1,1,179.83,179.83
139,11,543,6,6,204.85,1229.10
140,11,546,12,12,337.37,4048.44
141,11,547,6,6,267.36,1604.16
142,11,550,12,12,315.54,3786.48
143,11,551,24,24,201.95,4846.80
144,11,552,6,6,162.56,975.36
145,11,553,6,6,304.78,1828.68
146,11,554,12,12,270.10,3241.20
147,11,555,6,6,215.74,1294.44
148,11,562,12,12,151.68,1820.16
149,11,563,6,6,277.48,1664.88
150,11,565,6,6,262.01,1572.06
151,11,567,24,24,173.42,4162.08
152,11,569,6,6,79.28,475.68
153,11,572,6,6,65.51,393.06
154,11,574,6,6,35.79,214.74
155,11,575,12,12,125.38,1504.56
156,11,576,12,12,195.76,2349.12
157,11,577,6,6,17.73,106.38
158,11,579,24,24,58.64,1407.36
159,11,580,6,6,111.44,668.64
160,11,581,1,1,32.77,32.77
161,11,582,1,1,122.07,122.07
162,11,583,6,6,121.70,730.20
163,11,584,6,6,100.71,604.26
164,11,585,24,24,123.72,2969.28
165,11,586,6,6,27.53,165.18
166,11,587,1,1,34.54,34.54
167,11,588,12,12,133.74,1604.88
168,11,589,12,12,31.67,380.04
169,11,590,12,12,35.84,430.08
170,11,591,1,1,130.37,130.37
171,11,592,6,6,114.04,684.24
172,11,593,6,6,30.79,184.74
173,11,595,6,6,52.70,316.20
174,11,596,6,6,180.18,1081.08
175,11,597,6,6,143.80,862.80
176,12,32,6,6,40.31,241.86
177,13,109,24,24,75.38,1809.12
178,13,119,24,24,141.11,3386.64
179,13,126,6,6,84.68,508.08
180,13,151,31,31,25.88,802.28
181,13,153,59,59,68.27,4027.93
182,14,280,24,24,64.28,1542.72
183,14,296,12,12,90.18,1082.16
184,14,327,6,6,32.27,193.62
185,15,348,12,12,99.12,1189.44
186,15,368,24,24,203.41,4881.84
187,16,418,12,12,109.77,1317.24
188,16,427,24,24,117.35,2816.40
189,17,469,24,24,43.84,1052.16
190,17,504,6,6,63.73,382.38
191,17,512,12,12,102.80,1233.60
192,17,517,6,6,54.72,328.32
193,17,526,6,6,133.32,799.92
194,18,538,12,12,264.00,3168.00
195,18,556,12,12,194.52,2334.24
196,19,15,42,42,19.97,838.74
197,20,49,6,6,160.50,963.00
198,20,66,18,18,197.59,3556.62
199,21,122,48,48,222.45,10677.60
200,21,131,24,24,104.12,2498.88
201,21,137,12,12,36.69,440.28
202,22,173,24,24,36.81,883.44
203,22,187,25,25,44.11,1102.75
204,22,188,12,12,20.57,246.84
205,22,194,24,24,31.22,749.28
206,22,204,19,19,20.76,394.44
207,22,222,6,6,25.26,151.56
208,23,241,24,24,47.60,1142.40
209,24,282,12,12,103.57,1242.84
210,24,287,12,12,77.22,926.64
211,25,346,48,48,142.28,6829.44
212,25,350,12,12,135.08,1620.96
213,25,367,36,36,161.16,5801.76
214,25,369,48,48,291.77,14004.96
215,26,438,3,3,34.94,104.82
216,27,500,12,12,119.26,1431.12
217,27,524,12,12,115.66,1387.92
218,27,528,4,4,127.30,509.20
219,28,535,6,6,217.43,1304.58
220,28,542,24,24,124.21,2981.04
221,28,557,24,24,178.21,4277.04
222,28,561,4,4,172.62,690.48
223,28,570,6,6,121.52,729.12
224,29,8,96,96,56.16,5391.36
225,29,11,48,48,39.25,1884.00
226,29,34,12,12,26.03,312.36
227,30,38,38,38,153.82,5845.16
228,30,46,12,12,291.41,3496.92
229,31,145,22,22,46.79,1029.38
230,31,168,12,12,59.74,716.88
231,32,193,24,24,23.12,554.88
232,32,203,84,84,30.56,2567.04
233,32,232,18,18,105.26,1894.68
234,33,292,12,12,213.69,2564.28
235,34,377,12,12,97.49,1169.88
236,34,394,12,12,120.41,1444.92
237,34,407,12,12,66.55,798.60
238,35,444,12,12,33.77,405.24
239,36,530,4,4,230.83,923.32
240,37,544,6,6,180.15,1080.90
241,37,600,12,12,29.12,349.44
242,38,1,48,48,18.19,873.12
243,38,23,30,30,33.03,990.90
244,38,25,24,24,39.35,944.40
245,38,31,12,12,28.82,345.84
246,39,41,12,12,263.86,3166.32
247,39,42,24,24,217.80,5227.20
248,39,50,12,12,468.57,5622.84
249,39,60,12,12,271.73,3260.76
250,40,123,24,24,786.06,18865.44
251,40,133,12,12,582.93,6995.16
252,40,147,36,36,27.00,972.00
253,40,167,24,24,48.25,1158.00
254,41,175,12,12,39.87,478.44
255,41,220,6,6,17.00,102.00
256,41,228,18,18,35.55,639.90
257,41,237,36,36,56.40,2030.40
258,42,277,6,6,87.55,525.30
259,43,413,24,24,105.27,2526.48
260,44,458,12,12,104.82,1257.84
261,44,466,24,24,112.27,2694.48
262,45,488,24,24,106.80,2563.20
263,45,495,60,60,67.77,4066.20
264,45,501,24,24,91.11,2186.64
265,45,510,4,4,76.54,306.16
266,45,521,6,6,160.60,963.60
267,46,549,18,18,196.44,3535.92
268,47,47,36,36,210.96,7594.56
269,47,56,108,108,203.77,22007.16
270,47,59,36,36,231.01,8316.36
271,47,64,6,6,705.33,4231.98
272,47,67,24,24,510.96,12263.04
273,48,92,24,24,44.95,1078.80
274,49,116,12,12,132.78,1593.36
275,49,127,168,168,494.47,83070.96
276,49,142,24,24,34.13,819.12
277,49,156,24,24,72.15,1731.60
278,49,161,3,3,34.14,102.42
279,50,223,42,42,45.71,1919.82
280,51,252,4,4,71.51,286.04
281,51,269,6,6,46.80,280.80
282,52,271,18,18,148.25,2668.50
283,52,274,6,6,109.53,657.18
284,52,275,12,12,128.45,1541.40
285,52,299,24,24,190.31,4567.44
286,52,301,36,36,174.30,6274.80
287,53,405,6,6,146.38,878.28
288,53,411,5,5,70.92,354.60
289,54,467,12,12,52.92,635.04
290,55,497,6,6,48.24,289.44
291,55,505,24,24,134.49,3227.76
292,56,541,1,1,179.83,179.83
293,56,582,1,1,122.07,122.07
294,57,37,12,12,304.98,3659.76
295,57,51,42,42,432.44,18162.48
296,58,106,6,6,204.29,1225.74
297,58,111,24,24,245.59,5894.16
298,58,129,27,27,421.07,11368.89
299,58,141,18,18,42.82,770.76
300,58,148,48,48,46.05,2210.40
301,58,152,12,12,108.63,1303.56
302,59,181,24,24,79.52,1908.48
303,59,192,12,12,37.92,455.04
304,59,212,6,6,35.98,215.88
305,59,216,72,72,42.01,3024.72
306,59,233,12,12,56.93,683.16
307,60,253,12,12,85.97,1031.64
308,60,260,57,57,79.02,4504.14
309,61,272,13,13,104.19,1354.47
310,61,288,18,18,161.09,2899.62
311,61,297,12,12,90.99,1091.88
312,61,300,24,24,190.74,4577.76
313,61,307,12,12,66.05,792.60
314,62,359,24,24,132.53,3180.72
315,62,362,24,24,81.28,1950.72
316,62,366,5,5,96.06,480.30
317,63,370,12,12,75.36,904.32
318,63,383,24,24,103.84,2492.16
319,63,384,30,30,55.69,1670.70
320,63,399,12,12,74.98,899.76
321,63,414,24,24,159.44,3826.56
322,63,420,5,5,50.50,252.50
323,64,437,12,12,79.71,956.52
324,64,461,36,36,80.02,2880.72
325,65,470,4,4,155.29,621.16
326,65,472,12,12,132.89,1594.68
327,65,474,1,1,69.52,69.52
328,65,475,12,12,49.47,593.64
329,65,483,6,6,46.96,281.76
330,65,534,1,1,99.40,99.40
331,66,33,48,48,49.25,2364.00
332,67,39,48,48,156.51,7512.48
333,67,52,24,24,177.52,4260.48
334,67,61,24,24,203.32,4879.68
335,67,63,60,60,179.97,10798.20
336,68,76,12,12,51.90,622.80
337,68,77,12,12,23.49,281.88
338,68,82,6,6,33.89,203.34
339,68,98,12,12,64.42,773.04
340,68,102,12,12,48.35,580.20
341,69,103,12,12,177.87,2134.44
342,69,107,12,12,163.34,1960.08
343,69,120,6,6,97.98,587.88
344,69,121,6,6,207.01,1242.06
345,69,125,24,24,470.42,11290.08
346,69,136,18,18,215.12,3872.16
347,69,149,12,12,27.44,329.28
348,69,150,12,12,20.29,243.48
349,69,154,12,12,28.30,339.60
350,69,164,48,48,24.38,1170.24
351,70,215,12,12,28.31,339.72
352,70,227,12,12,16.07,192.84
353,71,284,12,12,175.56,2106.72
354,71,290,6,6,124.57,747.42
355,71,293,12,12,368.78,4425.36
356,71,309,6,6,51.45,308.70
357,71,321,6,6,41.50,249.00
358,72,338,12,12,138.34,1660.08
359,72,343,12,12,177.42,2129.04
360,72,347,6,6,177.62,1065.72
361,73,393,40,40,40.12,1604.80
362,73,395,14,14,80.48,1126.72
363,73,402,24,24,88.84,2132.16
364,73,434,12,12,98.07,1176.84
365,74,447,2,2,73.51,147.02
366,74,455,12,12,84.00,1008.00
367,75,473,24,24,61.89,1485.36
368,75,476,12,12,107.26,1287.12
369,75,513,6,6,123.87,743.22
370,75,522,6,6,141.94,851.64
371,76,559,6,6,178.36,1070.16
372,76,571,12,12,94.39,1132.68
373,77,7,18,18,10.98,197.64
374,77,26,24,24,26.51,636.24
375,78,86,7,7,50.25,351.75
376,78,90,12,12,46.66,559.92
377,79,104,36,36,358.62,12910.32
378,79,114,29,29,196.91,5710.39
379,79,124,30,30,92.34,2770.20
380,79,155,24,24,48.72,1169.28
381,79,160,24,24,64.76,1554.24
382,80,174,12,12,58.83,705.96
383,80,177,1,1,61.31,61.31
384,80,179,36,36,24.56,884.16
385,80,183,12,12,63.60,763.20
386,80,185,12,12,41.78,501.36
387,80,200,36,36,42.98,1547.28
388,80,210,24,24,43.50,1044.00
389,80,219,36,36,32.87,1183.32
390,80,221,12,12,22.18,266.16
391,81,298,24,24,197.76,4746.24
392,81,324,18,18,26.36,474.48
393,82,345,12,12,173.88,2086.56
394,82,349,102,102,103.32,10538.64
395,82,355,6,6,124.26,745.56
396,82,365,12,12,390.49,4685.88
397,83,386,36,36,91.72,3301.92
398,83,390,3,3,76.54,229.62
399,83,398,24,24,79.94,1918.56
400,84,442,48,48,42.26,2028.48
401,85,485,12,12,52.14,625.68
402,85,503,12,12,76.28,915.36
403,86,578,8,8,37.74,301.92
404,87,6,96,96,20.10,1929.60
405,87,9,48,48,43.31,2078.88
406,87,17,36,36,19.25,693.00
407,87,21,12,12,37.58,450.96
408,87,27,48,48,14.58,699.84
409,88,45,42,42,199.48,8378.16
410,88,53,108,108,165.75,17901.00
411,88,57,96,96,102.77,9865.92
412,89,75,24,24,39.67,952.08
413,89,84,24,24,53.64,1287.36
414,89,99,14,14,39.21,548.94
415,90,134,12,12,163.90,1966.80
416,90,158,18,18,53.37,960.66
417,91,171,5,5,29.11,145.55
418,91,172,12,12,87.64,1051.68
419,91,184,24,24,16.61,398.64
420,91,197,18,18,46.40,835.20
421,91,199,54,54,35.36,1909.44
422,91,201,48,48,36.98,1775.04
423,91,205,12,12,35.31,423.72
424,91,234,6,6,27.02,162.12
425,92,267,24,24,52.70,1264.80
426,93,289,18,18,139.81,2516.58
427,93,291,19,19,109.01,2071.19
428,93,316,12,12,49.39,592.68
429,94,354,24,24,188.46,4523.04
430,94,356,12,12,95.10,1141.20
431,95,376,7,7,70.22,491.54
432,95,422,6,6,108.09,648.54
433,95,425,18,18,78.64,1415.52
434,95,426,12,12,78.03,936.36
435,96,439,24,24,168.00,4032.00
436,97,471,12,12,77.12,925.44
437,98,537,12,12,139.64,1675.68
438,98,558,24,24,402.06,9649.44
439,98,594,12,12,86.71,1040.52
440,99,13,24,24,25.84,620.16
441,99,14,7,7,43.40,303.80
442,100,36,168,168,187.93,31572.24
443,100,55,24,24,237.81,5707.44
444,101,69,36,36,64.15,2309.40
445,101,70,6,6,30.07,180.42
446,101,89,24,24,19.16,459.84
447,101,94,36,36,59.29,2134.44
448,102,112,24,24,181.45,4354.80
449,102,117,24,24,357.49,8579.76
450,102,140,12,12,38.42,461.04
451,103,207,18,18,50.74,913.32
452,103,208,6,6,31.27,187.62
453,103,229,6,6,28.29,169.74
454,104,265,24,24,103.51,2484.24
455,105,273,10,10,97.54,975.40
456,105,279,18,18,169.04,3042.72
457,105,311,12,12,34.48,413.76
458,105,329,12,12,43.95,527.40
459,106,372,1,1,57.76,57.76
460,106,373,24,24,144.28,3462.72
461,106,396,1,1,100.05,100.05
462,106,433,19,19,181.32,3445.08
463,107,438,3,3,34.94,104.82
464,107,449,6,6,113.04,678.24
465,108,487,4,4,46.26,185.04
466,108,516,60,60,54.93,3295.80
467,109,548,12,12,272.77,3273.24
468,109,568,6,6,48.74,292.44
469,110,35,42,42,499.21,20966.82
470,110,43,36,36,293.78,10576.08
471,111,87,66,66,48.51,3201.66
472,111,96,24,24,70.16,1683.84
473,112,108,36,36,160.14,5765.04
474,112,118,24,24,124.96,2999.04
475,112,139,12,12,43.33,519.96
476,113,206,20,20,73.38,1467.60
477,113,217,42,42,38.97,1636.74
478,114,238,18,18,90.42,1627.56
479,114,243,10,10,155.97,1559.70
480,114,255,6,6,70.40,422.40
481,115,281,18,18,125.76,2263.68
482,115,294,24,24,99.77,2394.48
483,115,303,24,24,267.60,6422.40
484,115,325,18,18,25.42,457.56
485,116,351,42,42,66.16,2778.72
486,117,392,12,12,86.54,1038.48
487,117,403,6,6,91.18,547.08
488,117,408,12,12,139.42,1673.04
489,118,478,7,7,66.00,462.00
490,118,490,2,2,118.21,236.42
491,119,535,6,6,217.43,1304.58
492,119,541,1,1,179.83,179.83
493,119,570,6,6,121.52,729.12
494,119,582,1,1,122.07,122.07
495,120,20,1,1,49.15,49.15
496,121,44,96,96,218.99,21023.04
497,121,54,32,32,174.45,5582.40
498,122,93,36,36,53.83,1937.88
499,123,130,24,24,446.83,10723.92
500,123,132,24,24,199.91,4797.84
501,124,180,44,44,27.59,1213.96
502,124,187,25,25,44.11,1102.75
503,124,195,12,12,48.33,579.96
504,124,213,42,42,50.60,2125.20
505,124,231,24,24,40.71,977.04
506,125,245,8,8,67.17,537.36
507,125,251,12,12,121.83,1461.96
508,126,302,48,48,214.74,10307.52
509,126,308,12,12,41.56,498.72
510,126,334,24,24,28.68,688.32
511,127,340,6,6,148.97,893.82
512,128,421,12,12,265.96,3191.52
513,128,424,12,12,111.63,1339.56
514,129,453,12,12,71.69,860.28
515,130,479,6,6,120.30,721.80
516,130,534,1,1,99.40,99.40
517,131,30,24,24,29.52,708.48
518,132,95,24,24,37.39,897.36
519,133,128,12,12,291.91,3502.92
520,134,178,24,24,25.20,604.80
521,134,182,12,12,52.92,635.04
522,134,224,2,2,46.71,93.42
523,134,236,36,36,26.15,941.40
524,135,249,12,12,72.35,868.20
525,135,268,12,12,63.01,756.12
526,136,272,13,13,104.19,1354.47
527,136,306,18,18,17.48,314.64
528,136,323,36,36,59.53,2143.08
529,137,486,18,18,48.03,864.54
530,137,499,24,24,150.82,3619.68
531,137,512,12,12,102.80,1233.60
532,137,531,12,12,126.12,1513.44
533,138,2,198,198,16.87,3340.26
534,139,74,24,24,45.58,1093.92
535,139,79,12,12,78.31,939.72
536,139,88,48,48,48.28,2317.44
537,140,143,12,12,63.44,761.28
538,141,186,18,18,27.00,486.00
539,141,190,24,24,10.02,240.48
540,141,226,12,12,40.86,490.32
541,142,278,6,6,99.69,598.14
542,143,348,12,12,99.12,1189.44
543,144,371,16,16,128.28,2052.48
544,145,530,4,4,230.83,923.32
545,146,545,12,12,222.27,2667.24
546,146,573,24,24,40.68,976.32
547,147,24,12,12,27.10,325.20
548,148,40,21,21,463.24,9728.04
549,148,41,12,12,263.86,3166.32
550,148,48,96,96,322.58,30967.68
551,148,65,12,12,386.37,4636.44
552,148,68,24,24,310.68,7456.32
553,149,71,12,12,47.22,566.64
554,149,85,12,12,92.59,1111.08
555,149,100,24,24,56.48,1355.52
556,150,105,48,48,204.92,9836.16
557,150,113,6,6,252.71,1516.26
558,150,126,6,6,84.68,508.08
559,150,144,3,3,42.35,127.05
560,150,162,36,36,28.20,1015.20
561,151,214,6,6,48.04,288.24
562,151,237,36,36,56.40,2030.40
563,152,246,24,24,94.45,2266.80
564,152,250,4,4,69.38,277.52
565,153,305,54,54,37.54,2027.16
566,153,326,24,24,19.43,466.32
567,154,339,12,12,105.28,1263.36
568,154,357,11,11,142.09,1562.99
569,155,432,8,8,152.74,1221.92
570,156,452,2,2,46.72,93.44
571,156,468,24,24,78.00,1872.00
572,157,494,48,48,96.52,4632.96
573,157,528,4,4,127.30,509.20
574,158,539,6,6,301.45,1808.70
575,158,566,24,24,148.29,3558.96
576,159,16,24,24,50.86,1220.64
577,159,18,24,24,25.72,617.28
578,160,72,19,19,103.58,1968.02
579,160,80,12,12,54.48,653.76
580,161,254,12,12,47.54,570.48
581,161,263,54,54,41.66,2249.64
582,162,275,12,12,128.45,1541.40
583,162,318,24,24,71.65,1719.60
584,163,409,6,6,109.26,655.56
585,164,447,2,2,73.51,147.02
586,164,457,1,1,72.47,72.47
587,165,517,6,6,54.72,328.32
588,165,529,1,1,219.86,219.86
589,166,560,6,6,172.32,1033.92
590,166,598,6,6,159.07,954.42
591,167,10,7,7,36.75,257.25
592,168,38,38,38,153.82,5845.16
593,169,78,24,24,32.49,779.76
594,169,97,24,24,31.25,750.00
595,170,110,6,6,255.09,1530.54
596,170,151,31,31,25.88,802.28
597,171,198,24,24,42.98,1031.52
598,172,259,26,26,113.90,2961.40
599,172,262,24,24,39.22,941.28
600,173,285,24,24,98.93,2374.32
601,174,420,5,5,50.50,252.50
602,175,509,3,3,123.77,371.31
603,175,532,6,6,105.68,634.08
604,176,578,8,8,37.74,301.92
605,176,599,5,5,26.67,133.35
606,177,129,27,27,421.07,11368.89
607,177,165,24,24,97.70,2344.80
608,178,194,24,24,31.22,749.28
609,178,209,24,24,86.83,2083.92
610,178,227,12,12,16.07,192.84
611,178,228,18,18,35.55,639.90
612,179,282,12,12,103.57,1242.84
613,179,288,18,18,161.09,2899.62
614,179,336,19,19,114.09,2167.71
615,180,431,43,43,81.59,3508.37
616,181,582,1,1,122.07,122.07
617,182,31,12,12,28.82,345.84
618,183,47,36,36,210.96,7594.56
619,184,73,84,84,32.52,2731.68
620,185,116,12,12,132.78,1593.36
621,185,153,59,59,68.27,4027.93
622,186,291,19,19,109.01,2071.19
623,186,331,8,8,15.99,127.92
624,187,395,14,14,80.48,1126.72
625,187,428,18,18,68.35,1230.30
626,188,481,12,12,98.28,1179.36
627,188,524,12,12,115.66,1387.92
628,189,15,42,42,19.97,838.74
629,190,58,18,18,162.92,2932.56
630,191,121,6,6,207.01,1242.06
631,191,122,48,48,222.45,10677.60
632,191,169,24,24,28.63,687.12
633,192,216,72,72,42.01,3024.72
634,192,230,24,24,34.20,820.80
635,193,264,60,60,99.20,5952.00
636,194,271,18,18,148.25,2668.50
637,194,301,36,36,174.30,6274.80
638,194,330,42,42,84.58,3552.36
639,195,346,48,48,142.28,6829.44
640,196,42,24,24,217.80,5227.20
641,197,90,12,12,46.66,559.92
642,197,91,24,24,55.86,1340.64
643,198,161,3,3,34.14,102.42
644,198,163,12,12,53.29,639.48
645,199,243,10,10,155.97,1559.70
646,199,257,4,4,51.08,204.32
647,200,273,10,10,97.54,975.40
648,200,320,24,24,37.35,896.40
649,200,332,6,6,42.49,254.94
650,201,364,12,12,114.44,1373.28
651,201,366,5,5,96.06,480.30
652,201,367,36,36,161.16,5801.76
653,202,393,40,40,40.12,1604.80
654,202,405,6,6,146.38,878.28
655,202,419,24,24,102.05,2449.20
656,203,498,12,12,56.08,672.96
657,203,510,4,4,76.54,306.16
658,203,516,60,60,54.93,3295.80
659,203,521,6,6,160.60,963.60
660,204,20,1,1,49.15,49.15
661,205,50,12,12,468.57,5622.84
662,206,82,6,6,33.89,203.34
663,206,86,7,7,50.25,351.75
664,207,135,18,18,564.48,10160.64
665,208,188,12,12,20.57,246.84
666,208,191,12,12,19.73,236.76
667,208,203,84,84,30.56,2567.04
668,208,223,42,42,45.71,1919.82
669,208,233,12,12,56.93,683.16
670,209,244,7,7,80.68,564.76
671,210,284,12,12,175.56,2106.72
672,210,297,12,12,90.99,1091.88
673,210,310,12,12,33.02,396.24
674,211,338,12,12,138.34,1660.08
675,211,352,24,24,131.89,3165.36
676,211,355,6,6,124.26,745.56
677,212,390,3,3,76.54,229.62
678,212,415,12,12,187.95,2255.40
679,213,484,12,12,103.13,1237.56
680,213,500,12,12,119.26,1431.12
681,214,561,4,4,172.62,690.48
682,214,564,12,12,173.51,2082.12
683,215,22,12,12,21.61,259.32
684,216,45,42,42,199.48,8378.16
685,216,62,12,12,167.13,2005.56
686,217,99,14,14,39.21,548.94
687,218,127,168,168,494.47,83070.96
688,218,167,24,24,48.25,1158.00
689,219,175,12,12,39.87,478.44
690,219,179,36,36,24.56,884.16
691,219,180,44,44,27.59,1213.96
692,219,187,25,25,44.11,1102.75
693,219,206,20,20,73.38,1467.60
694,220,274,6,6,109.53,657.18
695,220,328,6,6,91.69,550.14
696,220,333,18,18,55.53,999.54
697,221,340,6,6,148.97,893.82
698,222,410,24,24,90.96,2183.04
699,222,425,18,18,78.64,1415.52
700,223,461,36,36,80.02,2880.72
701,224,513,6,6,123.87,743.22
702,224,530,4,4,230.83,923.32
703,224,534,1,1,99.40,99.40
704,225,141,18,18,42.82,770.76
705,225,145,22,22,46.79,1029.38
706,225,166,6,6,25.97,155.82
707,226,184,24,24,16.61,398.64
708,226,195,12,12,48.33,579.96
709,226,197,18,18,46.40,835.20
710,226,199,54,54,35.36,1909.44
711,227,259,26,26,113.90,2961.40
712,228,372,1,1,57.76,57.76
713,228,396,1,1,100.05,100.05
714,229,1,48,48,18.19,873.12
715,230,114,29,29,196.91,5710.39
716,230,119,24,24,141.11,3386.64
717,230,124,30,30,92.34,2770.20
718,230,133,12,12,582.93,6995.16
719,231,174,12,12,58.83,705.96
720,231,189,24,24,25.66,615.84
721,231,204,19,19,20.76,394.44
722,231,225,6,6,47.76,286.56
723,232,256,6,6,162.95,977.70
724,232,260,57,57,79.02,4504.14
725,233,272,13,13,104.19,1354.47
726,233,283,6,6,252.81,1516.86
727,233,290,6,6,124.57,747.42
728,233,300,24,24,190.74,4577.76
729,234,356,12,12,95.10,1141.20
730,234,360,18,18,71.03,1278.54
731,234,362,24,24,81.28,1950.72
732,234,365,12,12,390.49,4685.88
733,234,369,48,48,291.77,14004.96
734,235,378,12,12,30.08,360.96
735,235,399,12,12,74.98,899.76
736,236,453,12,12,71.69,860.28
737,237,509,3,3,123.77,371.31
738,238,544,6,6,180.15,1080.90
739,239,17,36,36,19.25,693.00
740,240,51,42,42,432.44,18162.48
741,241,115,6,6,121.60,729.60
742,242,275,12,12,128.45,1541.40
743,242,278,6,6,99.69,598.14
744,242,298,24,24,197.76,4746.24
745,243,414,24,24,159.44,3826.56
746,244,489,12,12,75.24,902.88
747,244,506,6,6,93.92,563.52
748,244,526,6,6,133.32,799.92
749,244,528,4,4,127.30,509.20
750,245,597,6,6,143.80,862.80
751,246,53,108,108,165.75,17901.00
