supplier_price_id,supplier_id,product_id,unit_cost,currency,effective_from,effective_to,source,supersedes_id
67,2,34,0.93,GBP,2025-10-03,2026-04-07,seed,
68,2,34,1.01,GBP,2026-04-07,,seed,67
69,2,35,0.30,GBP,2024-09-26,2025-10-15,seed,
70,2,35,0.33,GBP,2025-10-15,,seed,69
71,2,36,0.55,GBP,2025-11-02,2026-03-19,seed,
72,2,36,0.60,GBP,2026-03-19,,seed,71
73,2,37,0.60,GBP,2025-11-23,2026-05-22,seed,
74,2,37,0.66,GBP,2026-05-22,,seed,73
75,2,38,0.58,GBP,2025-07-18,2026-05-10,seed,
76,2,38,0.64,GBP,2026-05-10,,seed,75
77,2,39,1.19,GBP,2024-12-30,2025-12-01,seed,
78,2,39,1.32,GBP,2025-12-01,,seed,77
79,2,40,2.54,GBP,2025-05-23,2025-10-30,seed,
80,2,40,2.75,GBP,2025-10-30,,seed,79
81,2,41,0.92,GBP,2025-08-02,2026-04-29,seed,
82,2,41,1.03,GBP,2026-04-29,,seed,81
83,2,42,0.89,GBP,2025-10-04,2026-04-19,seed,
84,2,42,0.96,GBP,2026-04-19,,seed,83
85,2,43,1.24,GBP,2025-02-19,2025-11-06,seed,
86,2,43,1.37,GBP,2025-11-06,,seed,85
87,2,44,1.72,GBP,2025-05-11,2026-02-18,seed,
88,2,44,1.80,GBP,2026-02-18,,seed,87
89,2,45,2.36,GBP,2025-08-26,2026-02-22,seed,
90,2,45,2.67,GBP,2026-02-22,,seed,89
91,2,46,0.94,GBP,2025-06-11,2025-11-12,seed,
92,2,46,1.06,GBP,2025-11-12,,seed,91
93,2,47,0.57,GBP,2025-10-30,2026-04-18,seed,
94,2,47,0.64,GBP,2026-04-18,,seed,93
95,2,48,1.36,GBP,2025-03-02,2025-10-01,seed,
96,2,48,1.44,GBP,2025-10-01,,seed,95
97,1,49,2.10,GBP,2024-08-30,2025-09-17,seed,
98,1,49,2.35,GBP,2025-09-17,,seed,97
99,1,50,0.88,GBP,2025-08-10,2026-04-22,seed,
100,1,50,1.00,GBP,2026-04-22,,seed,99
101,1,51,0.73,GBP,2025-11-25,2026-05-15,seed,
102,1,51,0.83,GBP,2026-05-15,,seed,101
103,1,52,0.95,GBP,2024-12-28,2025-10-20,seed,
104,1,52,1.02,GBP,2025-10-20,,seed,103
105,1,53,1.91,GBP,2025-04-29,2026-05-22,seed,
106,1,53,2.09,GBP,2026-05-22,,seed,105
107,1,54,1.92,GBP,2025-02-07,2025-11-26,seed,
108,1,54,2.11,GBP,2025-11-26,,seed,107
109,1,55,0.27,GBP,2024-11-22,2025-09-06,seed,
110,1,55,0.28,GBP,2025-09-06,,seed,109
111,1,56,0.58,GBP,2025-11-06,2026-05-24,seed,
112,1,56,0.60,GBP,2026-05-24,,seed,111
113,1,57,0.94,GBP,2024-10-28,2025-10-31,seed,
114,1,57,1.03,GBP,2025-10-31,,seed,113
115,1,58,0.88,GBP,2025-05-12,2026-02-27,seed,
116,1,58,0.97,GBP,2026-02-27,,seed,115
117,1,59,0.97,GBP,2024-10-09,2025-10-02,seed,
118,1,59,1.06,GBP,2025-10-02,,seed,117
119,1,60,1.00,GBP,2025-10-18,2026-05-18,seed,
120,1,60,1.09,GBP,2026-05-18,,seed,119
121,1,61,0.22,GBP,2025-10-18,2026-04-14,seed,
122,1,61,0.24,GBP,2026-04-14,,seed,121
123,1,62,2.19,GBP,2024-12-01,2025-12-10,seed,
124,1,62,2.33,GBP,2025-12-10,,seed,123
125,1,63,0.81,GBP,2025-06-09,2025-11-19,seed,
126,1,63,0.84,GBP,2025-11-19,,seed,125
127,1,64,0.87,GBP,2025-08-27,2026-05-21,seed,
128,1,64,0.92,GBP,2026-05-21,,seed,127
129,1,65,1.05,GBP,2025-08-29,2026-05-17,seed,
130,1,65,1.17,GBP,2026-05-17,,seed,129
131,1,66,0.93,GBP,2025-09-26,2026-05-17,seed,
132,1,66,1.05,GBP,2026-05-17,,seed,131
133,1,67,0.24,GBP,2025-02-14,2025-12-05,seed,
134,1,67,0.27,GBP,2025-12-05,,seed,133
135,1,68,1.56,GBP,2025-06-14,2025-11-15,seed,
136,1,68,1.77,GBP,2025-11-15,,seed,135
137,1,69,0.76,GBP,2025-05-05,2026-02-03,seed,
138,1,69,0.84,GBP,2026-02-03,,seed,137
139,1,70,1.64,GBP,2025-01-11,2025-11-07,seed,
140,1,70,1.82,GBP,2025-11-07,,seed,139
141,1,71,0.46,GBP,2025-10-19,2026-05-08,seed,
142,1,71,0.48,GBP,2026-05-08,,seed,141
143,1,72,2.47,GBP,2025-04-14,2025-11-19,seed,
144,1,72,2.72,GBP,2025-11-19,,seed,143
145,1,73,0.76,GBP,2025-06-09,2025-10-13,seed,
146,1,73,0.84,GBP,2025-10-13,,seed,145
147,1,74,0.69,GBP,2024-09-26,2025-09-26,seed,
148,1,74,0.73,GBP,2025-09-26,,seed,147
149,3,75,1.28,GBP,2025-04-30,2026-03-04,seed,
150,3,75,1.40,GBP,2026-03-04,,seed,149
151,3,76,1.30,GBP,2025-05-19,2025-10-11,seed,
152,3,76,1.44,GBP,2025-10-11,,seed,151
153,3,77,0.94,GBP,2025-04-18,2025-12-17,seed,
154,3,77,1.05,GBP,2025-12-17,,seed,153
155,3,78,0.94,GBP,2024-12-18,2025-10-10,seed,
156,3,78,1.06,GBP,2025-10-10,,seed,155
157,3,79,1.97,GBP,2025-05-17,2026-03-04,seed,
158,3,79,2.04,GBP,2026-03-04,,seed,157
159,3,80,1.30,GBP,2025-07-05,2026-05-16,seed,
160,3,80,1.45,GBP,2026-05-16,,seed,159
161,3,81,0.66,GBP,2025-03-01,2026-02-08,seed,
162,3,81,0.73,GBP,2026-02-08,,seed,161
163,3,82,1.26,GBP,2025-04-02,2026-03-30,seed,
164,3,82,1.35,GBP,2026-03-30,,seed,163
165,3,83,5.85,GBP,2024-10-28,2025-09-27,seed,
166,3,83,6.32,GBP,2025-09-27,,seed,165
167,3,84,3.94,GBP,2024-12-14,2025-09-21,seed,
168,3,84,4.10,GBP,2025-09-21,,seed,167
169,3,85,1.88,GBP,2024-11-15,2025-11-25,seed,
170,3,85,2.11,GBP,2025-11-25,,seed,169
171,3,86,4.52,GBP,2025-10-10,2026-02-09,seed,
172,3,86,4.78,GBP,2026-02-09,,seed,171
173,3,87,1.86,GBP,2025-07-04,2025-11-08,seed,
174,3,87,2.02,GBP,2025-11-08,,seed,173
175,3,88,3.07,GBP,2025-04-28,2025-10-30,seed,
176,3,88,3.47,GBP,2025-10-30,,seed,175
177,3,89,0.66,GBP,2024-12-29,2025-11-11,seed,
178,3,89,0.69,GBP,2025-11-11,,seed,177
179,3,90,1.35,GBP,2025-06-01,2025-11-16,seed,
180,3,90,1.48,GBP,2025-11-16,,seed,179
181,3,91,1.29,GBP,2024-12-29,2025-12-07,seed,
182,3,91,1.33,GBP,2025-12-07,,seed,181
183,3,92,0.94,GBP,2026-01-07,2026-05-09,seed,
184,3,92,1.04,GBP,2026-05-09,,seed,183
185,3,93,0.62,GBP,2025-09-14,2026-05-13,seed,
186,3,93,0.69,GBP,2026-05-13,,seed,185
187,3,94,1.03,GBP,2025-01-16,2025-10-18,seed,
188,3,94,1.12,GBP,2025-10-18,,seed,187
189,3,95,0.98,GBP,2025-09-26,2026-03-07,seed,
190,3,95,1.08,GBP,2026-03-07,,seed,189
191,3,96,1.09,GBP,2025-04-19,2026-03-21,seed,
192,3,96,1.13,GBP,2026-03-21,,seed,191
193,3,97,1.55,GBP,2024-12-07,2025-10-20,seed,
194,3,97,1.75,GBP,2025-10-20,,seed,193
195,3,98,2.19,GBP,2025-07-30,2026-04-25,seed,
196,3,98,2.40,GBP,2026-04-25,,seed,195
197,3,99,1.70,GBP,2025-11-12,2026-04-27,seed,
198,3,99,1.76,GBP,2026-04-27,,seed,197
199,3,100,1.35,GBP,2025-08-21,2026-04-11,seed,
200,3,100,1.45,GBP,2026-04-11,,seed,199
201,3,101,0.96,GBP,2024-10-27,2025-10-16,seed,
202,3,101,1.01,GBP,2025-10-16,,seed,201
203,3,102,4.73,GBP,2025-05-16,2026-05-02,seed,
204,3,102,5.00,GBP,2026-05-02,,seed,203
205,3,103,3.16,GBP,2025-09-13,2026-03-26,seed,
206,3,103,3.56,GBP,2026-03-26,,seed,205
207,3,104,0.61,GBP,2025-07-16,2026-03-09,seed,
208,3,104,0.68,GBP,2026-03-09,,seed,207
209,3,105,1.70,GBP,2024-11-11,2025-09-22,seed,
210,3,105,1.83,GBP,2025-09-22,,seed,209
211,3,106,0.67,GBP,2025-08-28,2026-04-11,seed,
212,3,106,0.69,GBP,2026-04-11,,seed,211
213,3,107,1.09,GBP,2025-08-30,2026-05-06,seed,
214,3,107,1.13,GBP,2026-05-06,,seed,213
215,3,108,0.31,GBP,2025-05-14,2026-04-18,seed,
216,3,108,0.35,GBP,2026-04-18,,seed,215
217,3,109,2.68,GBP,2025-06-27,2026-02-12,seed,
218,3,109,2.89,GBP,2026-02-12,,seed,217
219,3,110,2.42,GBP,2024-10-22,2025-09-07,seed,
220,3,110,2.65,GBP,2025-09-07,,seed,219
221,3,111,1.28,GBP,2025-06-08,2026-04-02,seed,
222,3,111,1.41,GBP,2026-04-02,,seed,221
223,3,112,0.66,GBP,2025-04-15,2025-10-30,seed,
224,3,112,0.71,GBP,2025-10-30,,seed,223
225,3,113,1.91,GBP,2025-05-22,2025-09-24,seed,
226,3,113,2.13,GBP,2025-09-24,,seed,225
227,3,114,0.70,GBP,2025-12-16,2026-05-18,seed,
228,3,114,0.75,GBP,2026-05-18,,seed,227
229,3,115,0.94,GBP,2025-09-27,2026-04-15,seed,
230,3,115,1.05,GBP,2026-04-15,,seed,229
231,3,116,1.93,GBP,2025-10-06,2026-04-04,seed,
232,3,116,2.18,GBP,2026-04-04,,seed,231
233,3,117,1.31,GBP,2025-10-09,2026-03-13,seed,
234,3,117,1.47,GBP,2026-03-13,,seed,233
235,3,118,0.64,GBP,2025-07-01,2026-02-06,seed,
236,3,118,0.69,GBP,2026-02-06,,seed,235
237,3,119,2.09,GBP,2025-09-22,2026-04-24,seed,
238,3,119,2.22,GBP,2026-04-24,,seed,237
239,3,120,1.24,GBP,2025-09-12,2026-05-15,seed,
240,3,120,1.34,GBP,2026-05-15,,seed,239
241,3,121,2.39,GBP,2025-04-26,2026-02-26,seed,
242,3,121,2.59,GBP,2026-02-26,,seed,241
243,3,122,0.30,GBP,2025-12-22,2026-05-04,seed,
244,3,122,0.34,GBP,2026-05-04,,seed,243
245,2,123,1.91,GBP,2025-08-11,2026-05-06,seed,
246,2,123,2.02,GBP,2026-05-06,,seed,245
247,2,124,1.64,GBP,2024-10-27,2025-10-28,seed,
248,2,124,1.69,GBP,2025-10-28,,seed,247
249,2,125,0.58,GBP,2025-08-09,2026-03-19,seed,
250,2,125,0.64,GBP,2026-03-19,,seed,249
251,2,126,1.89,GBP,2025-01-30,2026-01-29,seed,
252,2,126,2.04,GBP,2026-01-29,,seed,251
253,2,127,2.58,GBP,2025-07-01,2025-11-24,seed,
254,2,127,2.90,GBP,2025-11-24,,seed,253
255,2,128,1.28,GBP,2025-08-01,2026-04-05,seed,
256,2,128,1.36,GBP,2026-04-05,,seed,255
257,2,129,0.32,GBP,2025-05-05,2026-04-28,seed,
258,2,129,0.35,GBP,2026-04-28,,seed,257
259,2,130,1.37,GBP,2025-05-08,2026-05-06,seed,
260,2,130,1.42,GBP,2026-05-06,,seed,259
261,2,131,0.65,GBP,2025-09-01,2026-02-26,seed,
262,2,131,0.67,GBP,2026-02-26,,seed,261
263,2,132,0.64,GBP,2025-10-12,2026-04-23,seed,
264,2,132,0.72,GBP,2026-04-23,,seed,263
265,2,133,0.91,GBP,2025-02-12,2026-03-04,seed,
266,2,133,0.98,GBP,2026-03-04,,seed,265
267,2,134,2.96,GBP,2024-09-11,2025-09-16,seed,
268,2,134,3.35,GBP,2025-09-16,,seed,267
269,2,135,2.69,GBP,2024-10-14,2025-10-02,seed,
270,2,135,2.84,GBP,2025-10-02,,seed,269
271,2,136,2.59,GBP,2025-08-13,2026-04-28,seed,
272,2,136,2.74,GBP,2026-04-28,,seed,271
273,2,137,2.35,GBP,2025-01-30,2025-11-23,seed,
274,2,137,2.67,GBP,2025-11-23,,seed,273
275,2,138,1.17,GBP,2025-12-21,2026-05-15,seed,
276,2,138,1.32,GBP,2026-05-15,,seed,275
277,2,139,1.81,GBP,2024-11-16,2025-12-20,seed,
278,2,139,2.04,GBP,2025-12-20,,seed,277
279,2,140,1.00,GBP,2025-05-27,2026-04-24,seed,
280,2,140,1.06,GBP,2026-04-24,,seed,279
281,2,141,1.89,GBP,2025-03-15,2026-04-14,seed,
282,2,141,1.97,GBP,2026-04-14,,seed,281
283,2,142,1.30,GBP,2025-08-01,2026-02-26,seed,
284,2,142,1.36,GBP,2026-02-26,,seed,283
285,2,143,2.07,GBP,2025-07-02,2026-03-06,seed,
286,2,143,2.14,GBP,2026-03-06,,seed,285
287,2,144,0.60,GBP,2024-12-16,2025-09-28,seed,
288,2,144,0.65,GBP,2025-09-28,,seed,287
289,2,145,1.84,GBP,2025-08-30,2026-04-13,seed,
290,2,145,2.09,GBP,2026-04-13,,seed,289
291,2,146,0.65,GBP,2025-10-03,2026-04-07,seed,
292,2,146,0.68,GBP,2026-04-07,,seed,291
293,2,147,0.34,GBP,2025-04-05,2025-10-18,seed,
294,2,147,0.36,GBP,2025-10-18,,seed,293
295,2,148,0.90,GBP,2025-02-11,2025-10-29,seed,
296,2,148,1.00,GBP,2025-10-29,,seed,295
297,2,149,1.95,GBP,2025-04-14,2025-09-15,seed,
298,2,149,2.02,GBP,2025-09-15,,seed,297
299,2,150,1.51,GBP,2024-12-10,2025-12-04,seed,
300,2,150,1.63,GBP,2025-12-04,,seed,299
301,2,151,0.70,GBP,2024-12-22,2025-10-05,seed,
302,2,151,0.73,GBP,2025-10-05,,seed,301
303,2,152,1.71,GBP,2025-01-16,2025-11-30,seed,
304,2,152,1.77,GBP,2025-11-30,,seed,303
305,2,153,0.94,GBP,2025-01-20,2025-12-10,seed,
306,2,153,1.02,GBP,2025-12-10,,seed,305
307,2,154,1.60,GBP,2025-04-02,2025-09-16,seed,
308,2,154,1.67,GBP,2025-09-16,,seed,307
309,2,155,2.22,GBP,2025-10-09,2026-04-03,seed,
310,2,155,2.50,GBP,2026-04-03,,seed,309
311,2,156,1.24,GBP,2025-12-19,2026-05-21,seed,
312,2,156,1.40,GBP,2026-05-21,,seed,311
313,2,157,2.31,GBP,2024-12-28,2025-10-29,seed,
314,2,157,2.59,GBP,2025-10-29,,seed,313
315,2,158,0.67,GBP,2025-10-03,2026-02-19,seed,
316,2,158,0.71,GBP,2026-02-19,,seed,315
317,2,159,1.78,GBP,2025-06-24,2025-11-13,seed,
318,2,159,1.95,GBP,2025-11-13,,seed,317
319,2,160,0.59,GBP,2025-09-30,2026-02-25,seed,
320,2,160,0.67,GBP,2026-02-25,,seed,319
321,2,161,3.19,GBP,2025-10-26,2026-04-11,seed,
322,2,161,3.53,GBP,2026-04-11,,seed,321
323,2,162,1.93,GBP,2024-11-11,2025-09-30,seed,
324,2,162,2.15,GBP,2025-09-30,,seed,323
325,2,163,1.96,GBP,2025-06-04,2026-04-03,seed,
326,2,163,2.11,GBP,2026-04-03,,seed,325
327,2,164,0.61,GBP,2024-12-14,2025-09-23,seed,
328,2,164,0.69,GBP,2025-09-23,,seed,327
329,2,165,1.87,GBP,2025-08-14,2026-02-16,seed,
330,2,165,2.09,GBP,2026-02-16,,seed,329
331,2,166,1.26,GBP,2024-11-14,2025-10-19,seed,
332,2,166,1.31,GBP,2025-10-19,,seed,331
333,2,167,2.57,GBP,2025-07-18,2026-03-26,seed,
334,2,167,2.77,GBP,2026-03-26,,seed,333
335,2,168,0.98,GBP,2025-03-28,2026-03-14,seed,
336,2,168,1.06,GBP,2026-03-14,,seed,335
337,2,169,0.95,GBP,2024-11-13,2025-10-01,seed,
338,2,169,1.00,GBP,2025-10-01,,seed,337
339,2,170,3.85,GBP,2025-08-05,2026-03-22,seed,
340,2,170,4.26,GBP,2026-03-22,,seed,339
341,4,171,3.86,GBP,2025-10-08,2026-02-13,seed,
342,4,171,4.33,GBP,2026-02-13,,seed,341
343,4,172,2.98,GBP,2025-07-25,2026-03-24,seed,
344,4,172,3.07,GBP,2026-03-24,,seed,343
345,4,173,2.44,GBP,2024-10-25,2025-11-06,seed,
346,4,173,2.61,GBP,2025-11-06,,seed,345
347,4,174,0.55,GBP,2025-04-05,2026-03-19,seed,
348,4,174,0.58,GBP,2026-03-19,,seed,347
349,4,175,0.88,GBP,2025-05-21,2025-11-19,seed,
350,4,175,0.96,GBP,2025-11-19,,seed,349
351,4,176,0.54,GBP,2025-07-27,2025-12-18,seed,
352,4,176,0.61,GBP,2025-12-18,,seed,351
353,4,177,1.57,GBP,2025-05-01,2026-04-29,seed,
354,4,177,1.73,GBP,2026-04-29,,seed,353
355,4,178,0.95,GBP,2025-06-26,2025-12-04,seed,
356,4,178,1.03,GBP,2025-12-04,,seed,355
357,4,179,2.10,GBP,2025-10-02,2026-03-15,seed,
358,4,179,2.27,GBP,2026-03-15,,seed,357
359,4,180,0.52,GBP,2025-05-18,2026-02-10,seed,
360,4,180,0.58,GBP,2026-02-10,,seed,359
361,4,181,0.29,GBP,2025-07-01,2026-03-11,seed,
362,4,181,0.33,GBP,2026-03-11,,seed,361
363,4,182,4.60,GBP,2025-07-14,2026-03-02,seed,
364,4,182,4.97,GBP,2026-03-02,,seed,363
365,4,183,1.61,GBP,2025-08-04,2026-05-24,seed,
366,4,183,1.75,GBP,2026-05-24,,seed,365
367,4,184,1.01,GBP,2025-02-16,2025-10-28,seed,
368,4,184,1.06,GBP,2025-10-28,,seed,367
369,4,185,1.28,GBP,2025-07-27,2026-05-20,seed,
370,4,185,1.38,GBP,2026-05-20,,seed,369
371,4,186,1.50,GBP,2025-11-14,2026-04-19,seed,
372,4,186,1.57,GBP,2026-04-19,,seed,371
373,4,187,0.59,GBP,2025-08-16,2026-03-01,seed,
374,4,187,0.63,GBP,2026-03-01,,seed,373
375,4,188,2.67,GBP,2025-07-14,2026-03-29,seed,
376,4,188,2.82,GBP,2026-03-29,,seed,375
377,4,189,1.26,GBP,2025-08-11,2026-03-13,seed,
378,4,189,1.33,GBP,2026-03-13,,seed,377
379,4,190,1.10,GBP,2025-01-30,2026-02-01,seed,
380,4,190,1.24,GBP,2026-02-01,,seed,379
381,4,191,2.27,GBP,2025-01-19,2025-10-20,seed,
382,4,191,2.48,GBP,2025-10-20,,seed,381
383,4,192,0.92,GBP,2025-08-02,2026-04-23,seed,
384,4,192,0.95,GBP,2026-04-23,,seed,383
385,4,193,1.26,GBP,2025-09-29,2026-05-17,seed,
386,4,193,1.36,GBP,2026-05-17,,seed,385
387,4,194,1.85,GBP,2025-02-10,2026-03-16,seed,
388,4,194,2.08,GBP,2026-03-16,,seed,387
389,4,195,0.64,GBP,2025-04-16,2025-09-16,seed,
390,4,195,0.67,GBP,2025-09-16,,seed,389
391,4,196,0.60,GBP,2025-07-17,2026-02-22,seed,
392,4,196,0.63,GBP,2026-02-22,,seed,391
393,4,197,2.07,GBP,2025-07-17,2025-12-23,seed,
394,4,197,2.31,GBP,2025-12-23,,seed,393
395,4,198,1.08,GBP,2025-03-21,2026-01-28,seed,
396,4,198,1.21,GBP,2026-01-28,,seed,395
397,4,199,1.33,GBP,2024-12-08,2025-10-08,seed,
398,4,199,1.38,GBP,2025-10-08,,seed,397
399,4,200,2.33,GBP,2025-08-20,2026-03-17,seed,
400,4,200,2.51,GBP,2026-03-17,,seed,399
401,4,201,2.52,GBP,2025-09-16,2026-04-18,seed,
402,4,201,2.77,GBP,2026-04-18,,seed,401
403,4,202,0.95,GBP,2025-09-09,2026-02-06,seed,
404,4,202,1.00,GBP,2026-02-06,,seed,403
405,4,203,0.60,GBP,2025-02-15,2025-09-16,seed,
406,4,203,0.66,GBP,2025-09-16,,seed,405
407,4,204,1.89,GBP,2025-02-15,2025-11-11,seed,
408,4,204,2.02,GBP,2025-11-11,,seed,407
409,4,205,1.74,GBP,2025-10-21,2026-03-29,seed,
410,4,205,1.90,GBP,2026-03-29,,seed,409
411,4,206,1.18,GBP,2024-12-24,2025-12-02,seed,
412,4,206,1.29,GBP,2025-12-02,,seed,411
413,4,207,0.67,GBP,2025-06-01,2025-12-18,seed,
414,4,207,0.70,GBP,2025-12-18,,seed,413
415,4,208,1.81,GBP,2025-02-14,2025-09-17,seed,
416,4,208,1.96,GBP,2025-09-17,,seed,415
417,4,209,1.78,GBP,2025-01-23,2025-09-10,seed,
418,4,209,1.85,GBP,2025-09-10,,seed,417
419,4,210,0.32,GBP,2025-05-13,2026-02-15,seed,
420,4,210,0.34,GBP,2026-02-15,,seed,419
421,4,211,2.05,GBP,2024-12-13,2025-10-23,seed,
422,4,211,2.13,GBP,2025-10-23,,seed,421
423,4,212,1.24,GBP,2025-10-04,2026-03-25,seed,
424,4,212,1.34,GBP,2026-03-25,,seed,423
425,4,213,0.82,GBP,2025-01-22,2026-01-28,seed,
426,4,213,0.92,GBP,2026-01-28,,seed,425
427,4,214,1.88,GBP,2025-03-21,2025-11-03,seed,
428,4,214,2.03,GBP,2025-11-03,,seed,427
429,4,215,2.08,GBP,2025-06-12,2025-11-12,seed,
430,4,215,2.19,GBP,2025-11-12,,seed,429
431,4,216,1.33,GBP,2025-05-03,2025-12-08,seed,
432,4,216,1.38,GBP,2025-12-08,,seed,431
433,4,217,0.87,GBP,2024-11-12,2025-12-02,seed,
434,4,217,0.93,GBP,2025-12-02,,seed,433
435,4,218,1.22,GBP,2025-03-27,2026-02-27,seed,
436,4,218,1.26,GBP,2026-02-27,,seed,435
437,5,219,0.85,GBP,2024-11-14,2025-09-09,seed,
438,5,219,0.92,GBP,2025-09-09,,seed,437
439,5,220,1.47,GBP,2024-10-31,2025-10-09,seed,
440,5,220,1.56,GBP,2025-10-09,,seed,439
441,5,221,1.19,GBP,2025-06-13,2026-03-29,seed,
442,5,221,1.30,GBP,2026-03-29,,seed,441
443,5,222,0.57,GBP,2025-04-20,2026-04-14,seed,
444,5,222,0.65,GBP,2026-04-14,,seed,443
445,5,223,0.59,GBP,2025-01-23,2025-12-04,seed,
446,5,223,0.67,GBP,2025-12-04,,seed,445
447,5,224,0.32,GBP,2025-11-13,2026-04-03,seed,
448,5,224,0.34,GBP,2026-04-03,,seed,447
449,5,225,1.49,GBP,2025-09-28,2026-02-10,seed,
450,5,225,1.56,GBP,2026-02-10,,seed,449
451,5,226,1.81,GBP,2025-03-22,2025-11-02,seed,
452,5,226,1.97,GBP,2025-11-02,,seed,451
453,5,227,1.26,GBP,2025-08-25,2026-05-15,seed,
454,5,227,1.36,GBP,2026-05-15,,seed,453
455,5,228,1.78,GBP,2025-05-24,2026-02-24,seed,
456,5,228,1.86,GBP,2026-02-24,,seed,455
457,5,229,0.29,GBP,2025-04-22,2026-04-10,seed,
458,5,229,0.32,GBP,2026-04-10,,seed,457
459,5,230,1.15,GBP,2025-01-19,2025-10-16,seed,
460,5,230,1.21,GBP,2025-10-16,,seed,459
461,5,231,1.52,GBP,2025-06-02,2026-05-07,seed,
462,5,231,1.67,GBP,2026-05-07,,seed,461
463,5,232,1.15,GBP,2024-10-11,2025-10-07,seed,
464,5,232,1.21,GBP,2025-10-07,,seed,463
465,5,233,0.79,GBP,2025-07-21,2026-03-22,seed,
466,5,233,0.90,GBP,2026-03-22,,seed,465
467,5,234,1.10,GBP,2025-07-06,2025-12-08,seed,
468,5,234,1.22,GBP,2025-12-08,,seed,467
469,5,235,0.29,GBP,2025-04-18,2026-03-30,seed,
470,5,235,0.31,GBP,2026-03-30,,seed,469
471,5,236,1.23,GBP,2024-11-20,2025-11-16,seed,
