product_id,sku,name,category_id,unit_of_measure,pack_size,list_price,is_active,discontinued_on
27,FNV-0027,Green Konkan Potatoes Farm Fresh,1,each,1,20.00,true,
28,FNV-0028,Krishi Bazaar Green Chillies Farm Fresh,1,each,2,59.00,true,
29,FNV-0029,Sahyadri Lemons Farm Fresh,1,each,1,49.00,true,
30,FNV-0030,Sahyadri Onions 500 g Pack,1,each,1,45.00,true,
31,FNV-0031,Krishi Bazaar Bottle Gourd Farm Fresh,1,each,2,40.00,true,
32,FNV-0032,Krishi Bazaar Spinach Grade A,1,each,1,60.00,true,
33,FNV-0033,Green Konkan Bananas Grade A,1,each,2,69.00,true,
34,FNV-0034,Ratnagiri Bananas Loose,1,each,4,35.00,true,
35,STP-0001,Godavari Moong Dal 10 kg,2,each,1,590.00,true,
36,STP-0002,Godavari Basmati Rice Value Pack,2,each,2,220.00,true,
37,STP-0003,Godavari Chana Dal 10 kg,2,each,1,360.00,true,
38,STP-0004,Godavari Rava Premium,2,each,4,175.00,true,
39,STP-0005,Suvarna Basmati Rice Premium,2,each,1,185.00,true,
40,STP-0006,Godavari Poha 10 kg,2,each,2,535.00,true,
41,STP-0007,Godavari Chakki Atta Value Pack,2,each,1,300.00,true,
42,STP-0008,Annapurna Chana Dal Premium,2,each,1,249.00,true,
43,STP-0009,Panchali Rajma Value Pack,2,each,1,350.00,true,
44,STP-0010,Annapurna Kabuli Chana Premium,2,each,4,250.00,true,
45,STP-0011,Panchali Moong Dal Premium,2,each,4,235.00,true,
46,STP-0012,Panchali Rava Premium,2,each,4,340.00,true,
47,STP-0013,Suvarna Rajma 1 kg,2,each,1,240.00,true,
48,STP-0014,Panchali Chana Dal Premium,2,each,1,370.00,true,
49,STP-0015,Panchali Chana Dal 1 kg,2,each,1,190.00,true,
50,STP-0016,Annapurna Chana Dal 5 kg,2,each,2,550.00,true,
51,STP-0017,Suvarna Urad Dal 10 kg,2,each,4,510.00,true,
52,STP-0018,Annapurna Sona Masoori Rice 1 kg,2,each,4,210.00,true,
53,STP-0019,Suvarna Toor Dal 1 kg,2,each,1,195.00,true,
54,STP-0020,Suvarna Urad Dal Premium,2,each,1,200.00,true,
55,STP-0021,Panchali Chana Dal 1 kg #2,2,each,1,279.00,true,
56,STP-0022,Suvarna Kabuli Chana 1 kg,2,each,1,240.00,true,
57,STP-0023,Godavari Basmati Rice Premium,2,each,4,119.00,true,
58,STP-0024,Panchali Rava Premium #2,2,each,1,190.00,true,
59,STP-0025,Suvarna Rajma 1 kg #2,2,each,1,269.00,true,
60,STP-0026,Godavari Chakki Atta Value Pack #2,2,each,1,320.00,true,
61,STP-0027,Suvarna Rajma Premium,2,each,2,239.00,true,
62,STP-0028,Suvarna Urad Dal 1 kg,2,each,1,190.00,true,
63,STP-0029,Annapurna Poha Premium,2,each,1,210.00,true,
64,STP-0030,Suvarna Chakki Atta 10 kg,2,each,1,819.00,true,
65,STP-0031,Suvarna Poha Value Pack,2,each,1,440.00,true,
66,STP-0032,Godavari Besan 1 kg,2,each,1,235.00,true,
67,STP-0033,Annapurna Basmati Rice 5 kg,2,each,1,600.00,true,
68,STP-0034,Godavari Moong Dal Value Pack,2,each,1,365.00,true,
69,DRY-0001,Amrit Dhara Full Cream Milk Twin Pack,3,each,1,80.00,true,
70,DRY-0002,Amrit Dhara Shrikhand Standard,3,each,2,39.00,true,
71,DRY-0003,Chitale Wadi Buttermilk Standard,3,each,2,60.00,true,
72,DRY-0004,Nandini Vale Lassi Family Pack,3,each,1,135.00,true,
73,DRY-0005,Gokul Lassi Pouch,3,each,4,40.00,true,
74,DRY-0006,Gokul Shrikhand Standard,3,each,2,60.00,true,
75,DRY-0007,Gokul Butter Pouch,3,each,1,50.00,true,
76,DRY-0008,Gokul Butter Tub,3,each,1,69.00,true,
77,DRY-0009,Nandini Vale Buttermilk Pouch,3,each,4,29.00,true,
78,DRY-0010,Amrit Dhara Paneer Pouch,3,each,1,40.00,true,
79,DRY-0011,Amrit Dhara Buttermilk Standard,3,each,4,100.00,true,
80,DRY-0012,Nandini Vale Dahi Standard,3,each,2,69.00,true,
81,DRY-0013,Amrit Dhara Lassi Standard,3,each,1,45.00,true,
82,DRY-0014,Chitale Wadi Shrikhand Twin Pack,3,each,1,45.00,true,
83,DRY-0015,Chitale Wadi Cheese Slices Tub,3,each,1,45.00,true,
84,DRY-0016,Nandini Vale Full Cream Milk Tub,3,each,1,70.00,true,
85,DRY-0017,Amrit Dhara Dahi Standard,3,each,1,115.00,true,
86,DRY-0018,Chitale Wadi Toned Milk Pouch,3,each,1,65.00,true,
87,DRY-0019,Gokul Shrikhand Pouch,3,each,4,60.00,true,
88,DRY-0020,Amrit Dhara Butter Pouch,3,each,4,60.00,true,
89,DRY-0021,Amrit Dhara Shrikhand Standard #2,3,each,2,25.00,true,
90,DRY-0022,Amrit Dhara Shrikhand Pouch,3,each,1,59.00,true,
91,DRY-0023,Chitale Wadi Full Cream Milk Tub,3,each,1,69.00,true,
92,DRY-0024,Chitale Wadi Lassi Twin Pack,3,each,1,59.00,true,
93,DRY-0025,Chitale Wadi Toned Milk Standard,3,each,2,70.00,true,
94,DRY-0026,Nandini Vale Shrikhand Family Pack,3,each,2,79.00,true,
95,DRY-0027,Chitale Wadi Buttermilk Tub,3,each,1,50.00,true,
96,DRY-0028,Gokul Lassi Pouch #2,3,each,1,90.00,true,
97,DRY-0029,Nandini Vale Paneer Pouch,3,each,4,39.00,true,
98,DRY-0030,Chitale Wadi Toned Milk Standard #2,3,each,4,85.00,true,
99,DRY-0031,Amrit Dhara Full Cream Milk Twin Pack #2,3,each,1,50.00,true,
100,DRY-0032,Chitale Wadi Buttermilk Standard #2,3,each,2,70.00,true,
101,DRY-0033,Amrit Dhara Butter Twin Pack,3,each,2,70.00,true,
102,DRY-0034,Chitale Wadi Shrikhand Tub,3,each,1,60.00,true,
103,OIL-0001,Deccan Gold Cow Ghee 1 L,4,each,1,215.00,true,
104,OIL-0002,Konkan Pure Vanaspati 5 L Jar,4,each,1,450.00,true,
105,OIL-0003,Deccan Gold Cow Ghee Refill Pouch,4,each,1,245.00,true,
106,OIL-0004,Suvarna Groundnut Oil 1 L,4,each,1,245.00,true,
107,OIL-0005,Konkan Pure Sunflower Oil Refill Pouch,4,each,1,199.00,true,
108,OIL-0006,Deccan Gold Cow Ghee 1 L #2,4,each,1,190.00,true,
109,OIL-0007,Deccan Gold Rice Bran Oil Refill Pouch,4,each,1,90.00,true,
110,OIL-0008,Suvarna Sunflower Oil 1 L,4,each,1,310.00,true,
111,OIL-0009,Tulsi Coconut Oil 500 ml,4,each,1,290.00,true,
112,OIL-0010,Suvarna Coconut Oil 500 ml,4,each,1,220.00,true,
113,OIL-0011,Deccan Gold Groundnut Oil 500 ml,4,each,4,309.00,true,
114,OIL-0012,Konkan Pure Vanaspati 500 ml,4,each,1,235.00,true,
115,OIL-0013,Suvarna Rice Bran Oil 500 ml,4,each,4,149.00,true,
116,OIL-0014,Konkan Pure Coconut Oil Refill Pouch,4,each,2,159.00,true,
117,OIL-0015,Suvarna Rice Bran Oil 5 L Jar,4,each,1,445.00,true,
118,OIL-0016,Deccan Gold Coconut Oil Refill Pouch,4,each,4,149.00,true,
119,OIL-0017,Deccan Gold Groundnut Oil Refill Pouch,4,each,4,175.00,true,
120,OIL-0018,Suvarna Mustard Oil Refill Pouch,4,each,4,119.00,true,
121,OIL-0019,Deccan Gold Coconut Oil 1 kg Tin,4,each,2,260.00,true,
122,OIL-0020,Tulsi Coconut Oil 500 ml #2,4,each,1,280.00,true,
123,OIL-0021,Konkan Pure Mustard Oil 5 L Jar,4,each,2,970.00,true,
124,OIL-0022,Suvarna Rice Bran Oil 500 ml #2,4,each,1,110.00,true,
125,OIL-0023,Konkan Pure Mustard Oil 5 L Jar #2,4,each,2,575.00,true,
126,OIL-0024,Suvarna Cow Ghee Refill Pouch,4,each,1,100.00,true,
127,OIL-0025,Tulsi Vanaspati 5 L Jar,4,each,1,605.00,true,
128,OIL-0026,Deccan Gold Mustard Oil 500 ml,4,each,2,345.00,true,
129,OIL-0027,Suvarna Cow Ghee 1 L,4,each,1,530.00,true,
130,OIL-0028,Tulsi Groundnut Oil 5 L Jar,4,each,1,539.00,true,
131,OIL-0029,Suvarna Vanaspati Refill Pouch,4,each,1,130.00,true,
132,OIL-0030,Tulsi Vanaspati Refill Pouch,4,each,2,249.00,true,
133,OIL-0031,Konkan Pure Cow Ghee 5 L Jar,4,each,2,720.00,true,
134,OIL-0032,Deccan Gold Rice Bran Oil 1 kg Tin,4,each,2,195.00,true,
135,OIL-0033,Deccan Gold Groundnut Oil 5 L Jar,4,each,1,690.00,true,
136,OIL-0034,Suvarna Rice Bran Oil Refill Pouch,4,each,4,265.00,true,
137,MSL-0001,Swad Sagar Mustard Seeds 200 g,5,each,1,60.00,true,
138,MSL-0002,Malvani Mustard Seeds Value Pack,5,each,1,100.00,true,
139,MSL-0003,Rasoi Rani Black Pepper Refill,5,each,1,69.00,true,
140,MSL-0004,Swad Sagar Coriander Powder 200 g,5,each,1,59.00,true,
141,MSL-0005,Rasoi Rani Garam Masala 200 g,5,each,1,65.00,true,
142,MSL-0006,Swad Sagar Turmeric Powder Value Pack,5,each,1,55.00,true,
143,MSL-0007,Rasoi Rani Garam Masala Value Pack,5,each,1,100.00,true,
144,MSL-0008,Malvani Sambar Powder 100 g,5,each,2,60.00,true,
145,MSL-0009,Rasoi Rani Turmeric Powder 500 g,5,each,1,69.00,true,
146,MSL-0010,Rasoi Rani Red Chilli Powder 500 g,5,each,1,70.00,true,
147,MSL-0011,Swad Sagar Cumin Seeds 200 g,5,each,4,40.00,true,
148,MSL-0012,Kesari Goda Masala 500 g,5,each,1,65.00,true,
149,MSL-0013,Kesari Goda Masala 100 g,5,each,1,40.00,true,
150,MSL-0014,Rasoi Rani Black Pepper Refill #2,5,each,2,29.00,true,
151,MSL-0015,Malvani Garam Masala 100 g,5,each,2,40.00,true,
152,MSL-0016,Rasoi Rani Red Chilli Powder Value Pack,5,each,4,160.00,true,
153,MSL-0017,Rasoi Rani Mustard Seeds Value Pack,5,each,2,110.00,true,
154,MSL-0018,Swad Sagar Pav Bhaji Masala 100 g,5,each,1,40.00,true,
155,MSL-0019,Rasoi Rani Mustard Seeds Refill,5,each,1,70.00,true,
156,MSL-0020,Malvani Goda Masala Refill,5,each,1,110.00,true,
157,MSL-0021,Kesari Pav Bhaji Masala 500 g,5,each,1,65.00,true,
158,MSL-0022,Swad Sagar Goda Masala 500 g,5,each,1,80.00,true,
159,MSL-0023,Rasoi Rani Garam Masala 100 g,5,each,2,70.00,true,
160,MSL-0024,Swad Sagar Coriander Powder Refill,5,each,1,99.00,true,
161,MSL-0025,Swad Sagar Goda Masala Refill,5,each,4,50.00,true,
162,MSL-0026,Malvani Mustard Seeds 200 g,5,each,1,40.00,true,
163,MSL-0027,Rasoi Rani Black Pepper 100 g,5,each,1,80.00,true,
164,MSL-0028,Malvani Red Chilli Powder 100 g,5,each,2,40.00,true,
165,MSL-0029,Kesari Cumin Seeds Value Pack,5,each,4,145.00,true,
166,MSL-0030,Swad Sagar Mustard Seeds 100 g,5,each,4,40.00,true,
167,MSL-0031,Malvani Red Chilli Powder 500 g,5,each,4,75.00,true,
168,MSL-0032,Malvani Pav Bhaji Masala 500 g,5,each,2,85.00,true,
169,MSL-0033,Malvani Mustard Seeds 100 g,5,each,1,45.00,true,
170,MSL-0034,Swad Sagar Black Pepper Refill,5,each,2,45.00,true,
171,NMK-0001,Bhusari Potato Chips Party Pack,6,each,2,45.00,true,
172,NMK-0002,Chivda Ghar Masala Peanuts Multipack,6,each,2,149.00,true,
173,NMK-0003,Chivda Ghar Masala Peanuts 400 g,6,each,4,55.00,true,
174,NMK-0004,Chivda Ghar Farsan Multipack,6,each,1,99.00,true,
175,NMK-0005,Haldi Bazaar Potato Chips Multipack,6,each,1,60.00,true,
176,NMK-0006,Chivda Ghar Farsan Multipack #2,6,each,4,75.00,true,
177,NMK-0007,Bhusari Chakli Multipack,6,each,2,100.00,true,
178,NMK-0008,Chivda Ghar Mixture Sharing Pack,6,each,1,40.00,true,
179,NMK-0009,Nagpur Crisp Masala Peanuts Sharing Pack,6,each,1,40.00,true,
180,NMK-0010,Bhusari Chakli 150 g,6,each,4,45.00,true,
181,NMK-0011,Nagpur Crisp Potato Chips Party Pack,6,each,1,129.00,true,
182,NMK-0012,Chivda Ghar Potato Chips Sharing Pack,6,each,2,80.00,true,
183,NMK-0013,Chivda Ghar Aloo Bhujia Multipack,6,each,1,100.00,true,
184,NMK-0014,Chivda Ghar Aloo Bhujia 150 g,6,each,1,25.00,true,
185,NMK-0015,Haldi Bazaar Masala Peanuts 400 g,6,each,2,65.00,true,
186,NMK-0016,Chivda Ghar Mixture 400 g,6,each,4,39.00,true,
187,NMK-0017,Haldi Bazaar Mixture Sharing Pack,6,each,2,75.00,true,
188,NMK-0018,Haldi Bazaar Chivda 150 g,6,each,4,30.00,true,
189,NMK-0019,Chivda Ghar Potato Chips 150 g,6,each,1,40.00,true,
190,NMK-0020,Nagpur Crisp Mixture 150 g,6,each,1,15.00,true,
191,NMK-0021,Bhusari Aloo Bhujia 150 g,6,each,1,30.00,true,
192,NMK-0022,Bhusari Chivda 400 g,6,each,1,55.00,true,
193,NMK-0023,Chivda Ghar Aloo Bhujia Multipack #2,6,each,1,35.00,true,
194,NMK-0024,Bhusari Masala Peanuts 150 g,6,each,1,50.00,true,
195,NMK-0025,Bhusari Masala Peanuts Multipack,6,each,1,80.00,true,
196,NMK-0026,Nagpur Crisp Farsan Sharing Pack,6,each,4,75.00,true,
197,NMK-0027,Nagpur Crisp Chivda Sharing Pack,6,each,2,79.00,true,
198,NMK-0028,Nagpur Crisp Farsan Sharing Pack #2,6,each,4,70.00,true,
199,NMK-0029,Bhusari Sev Sharing Pack,6,each,1,55.00,true,
200,NMK-0030,Bhusari Chakli Party Pack,6,each,1,69.00,true,
201,NMK-0031,Haldi Bazaar Sev Multipack,6,each,2,60.00,true,
202,NMK-0032,Nagpur Crisp Potato Chips Party Pack #2,6,each,4,60.00,true,
203,NMK-0033,Bhusari Mixture Sharing Pack,6,each,1,49.00,true,
204,NMK-0034,Nagpur Crisp Farsan 150 g,6,each,1,30.00,true,
205,BSK-0001,Malabar Cream Biscuits Assorted,7,each,2,50.00,true,
206,BSK-0002,Chandni Nankhatai Premium,7,each,1,110.00,true,
207,BSK-0003,Malabar Cookies Premium,7,each,1,70.00,true,
208,BSK-0004,Poona Bakers Cookies Assorted,7,each,4,49.00,true,
209,BSK-0005,Poona Bakers Cream Biscuits Premium,7,each,1,120.00,true,
210,BSK-0006,Poona Bakers Cream Biscuits Family Pack,7,each,1,65.00,true,
211,BSK-0007,Malabar Rusk Assorted,7,each,2,60.00,true,
212,BSK-0008,Poona Bakers Pav Assorted,7,each,1,50.00,true,
213,BSK-0009,Poona Bakers Khari Family Pack,7,each,1,70.00,true,
214,BSK-0010,Chandni Cookies Premium,7,each,1,70.00,true,
215,BSK-0011,Chandni Marie Biscuits Standard,7,each,2,40.00,true,
216,BSK-0012,Chandni Cookies Assorted,7,each,1,60.00,true,
217,BSK-0013,Poona Bakers Rusk Assorted,7,each,1,60.00,true,
218,BSK-0014,Golden Crust Cookies Assorted,7,each,4,35.00,true,
219,BSK-0015,Chandni Cookies Family Pack,7,each,1,50.00,true,
220,BSK-0016,Chandni Nankhatai Assorted,7,each,2,25.00,true,
221,BSK-0017,Chandni Glucose Biscuits Standard,7,each,4,35.00,true,
222,BSK-0018,Malabar Khari Family Pack,7,each,1,39.00,true,
223,BSK-0019,Poona Bakers Pav Standard,7,each,1,70.00,true,
224,BSK-0020,Golden Crust Pav Multipack,7,each,1,70.00,true,
225,BSK-0021,Chandni Glucose Biscuits Standard #2,7,each,4,69.00,true,
226,BSK-0022,Golden Crust Cream Biscuits Multipack,7,each,1,59.00,true,
227,BSK-0023,Poona Bakers Cream Biscuits Standard,7,each,4,25.00,true,
228,BSK-0024,Chandni Nankhatai Multipack,7,each,1,50.00,true,
229,BSK-0025,Poona Bakers Rusk Multipack,7,each,1,40.00,true,
230,BSK-0026,Poona Bakers Cookies Standard,7,each,1,49.00,true,
231,BSK-0027,Chandni Cream Biscuits Premium,7,each,1,60.00,true,
232,BSK-0028,Golden Crust Bread Loaf Premium,7,each,4,149.00,true,
233,BSK-0029,Chandni Cream Biscuits Premium #2,7,each,4,89.00,true,
234,BSK-0030,Poona Bakers Marie Biscuits Premium,7,each,4,39.00,true,
235,BSK-0031,Chandni Nankhatai Standard,7,each,2,30.00,true,
236,BSK-0032,Malabar Cream Biscuits Assorted #2,7,each,1,40.00,true,
237,BSK-0033,Malabar Rusk Multipack,7,each,1,79.00,true,
238,RTC-0001,Jhat Pat Soup Mix Multipack,8,each,1,130.00,true,
239,RTC-0002,Mumbai Tiffin Instant Noodles Multipack,8,each,4,150.00,true,
240,RTC-0003,Mumbai Tiffin Upma Mix Multipack,8,each,1,110.00,true,
241,RTC-0004,Rasoi Rani Idli Batter Standard,8,each,1,70.00,true,
242,RTC-0005,Rasoi Rani Gravy Base Value Pack,8,each,2,95.00,true,
243,RTC-0006,Rasoi Rani Soup Mix Value Pack,8,each,1,219.00,true,
244,RTC-0007,Rasoi Rani Dosa Batter Family Pack,8,each,1,120.00,true,
245,RTC-0008,Rasoi Rani Instant Noodles Multipack,8,each,1,95.00,true,
246,RTC-0009,Instant Ghar Pasta Family Pack,8,each,1,130.00,true,
247,RTC-0010,Rasoi Rani Gravy Base 4 Pack,8,each,1,85.00,true,
248,RTC-0011,Instant Ghar Instant Noodles 4 Pack,8,each,4,130.00,true,
249,RTC-0012,Jhat Pat Instant Noodles 4 Pack,8,each,1,100.00,true,
250,RTC-0013,Instant Ghar Idli Batter Multipack,8,each,1,100.00,true,
251,RTC-0014,Mumbai Tiffin Dosa Batter Value Pack,8,each,1,180.00,true,
252,RTC-0015,Instant Ghar Upma Mix Family Pack,8,each,1,100.00,true,
253,RTC-0016,Rasoi Rani Frozen Parathas Multipack,8,each,1,130.00,true,
254,RTC-0017,Mumbai Tiffin Gravy Base 4 Pack,8,each,2,65.00,true,
255,RTC-0018,Jhat Pat Pasta Multipack,8,each,1,95.00,true,
256,RTC-0019,Jhat Pat Instant Noodles Family Pack,8,each,2,230.00,true,
257,RTC-0020,Rasoi Rani Gravy Base Standard,8,each,1,70.00,true,
258,RTC-0021,Mumbai Tiffin Gravy Base 4 Pack #2,8,each,1,170.00,true,
259,RTC-0022,Instant Ghar Dosa Batter Multipack,8,each,1,159.00,true,
260,RTC-0023,Jhat Pat Dosa Batter Family Pack,8,each,1,115.00,true,
261,RTC-0024,Jhat Pat Frozen Parathas Standard,8,each,1,60.00,true,
262,RTC-0025,Mumbai Tiffin Frozen Parathas Standard,8,each,1,55.00,true,
263,RTC-0026,Jhat Pat Frozen Parathas Multipack,8,each,2,59.00,true,
264,RTC-0027,Jhat Pat Frozen Parathas Value Pack,8,each,1,135.00,true,
265,RTC-0028,Mumbai Tiffin Instant Noodles 4 Pack,8,each,1,150.00,true,
266,RTC-0029,Mumbai Tiffin Frozen Parathas 4 Pack,8,each,1,110.00,true,
267,RTC-0030,Mumbai Tiffin Instant Noodles 4 Pack #2,8,each,1,80.00,true,
268,RTC-0031,Mumbai Tiffin Idli Batter Value Pack,8,each,1,90.00,true,
269,RTC-0032,Mumbai Tiffin Frozen Parathas Value Pack,8,each,1,65.00,true,
270,RTC-0033,Jhat Pat Idli Batter Value Pack,8,each,2,60.00,true,
271,TEA-0001,Assam Trail CTC Tea Refill,9,each,1,220.00,true,
272,TEA-0002,Assam Trail Green Tea 250 g,9,each,1,179.00,true,
273,TEA-0003,Coorg Roast Darjeeling Leaf Tea 250 g,9,each,4,150.00,true,
274,TEA-0004,Assam Trail Cardamom Tea 250 g,9,each,4,165.00,true,
275,TEA-0005,Chai Adda Instant Coffee Refill,9,each,2,225.00,true,
276,TEA-0006,Assam Trail Cardamom Tea 500 g,9,each,1,265.00,true,
277,TEA-0007,Nilgiri Hills Green Tea 250 g,9,each,1,140.00,true,
278,TEA-0008,Assam Trail CTC Tea 250 g,9,each,1,170.00,true,
279,TEA-0009,Nilgiri Hills Masala Chai 500 g,9,each,1,275.00,true,
280,TEA-0010,Assam Trail CTC Tea Refill #2,9,each,2,99.00,true,
281,TEA-0011,Coorg Roast Cardamom Tea 250 g,9,each,1,199.00,true,
282,TEA-0012,Chai Adda Filter Coffee 500 g,9,each,1,159.00,true,
283,TEA-0013,Assam Trail Masala Chai 500 g,9,each,1,390.00,true,
284,TEA-0014,Coorg Roast Cardamom Tea Premium,9,each,4,269.00,true,
285,TEA-0015,Chai Adda Instant Coffee 1 kg,9,each,1,160.00,true,
286,TEA-0016,Chai Adda Filter Coffee 500 g #2,9,each,1,300.00,true,
287,TEA-0017,Assam Trail Filter Coffee Refill,9,each,4,125.00,true,
288,TEA-0018,Assam Trail Cardamom Tea Premium,9,each,1,265.00,true,
289,TEA-0019,Coorg Roast Masala Chai 500 g,9,each,1,209.00,true,
290,TEA-0020,Chai Adda Darjeeling Leaf Tea Refill,9,each,1,210.00,true,
291,TEA-0021,Nilgiri Hills Cardamom Tea 500 g,9,each,1,169.00,true,
292,TEA-0022,Coorg Roast Cardamom Tea 1 kg,9,each,2,340.00,true,
293,TEA-0023,Chai Adda Instant Coffee Premium,9,each,1,590.00,true,
294,TEA-0024,Coorg Roast CTC Tea Refill,9,each,4,170.00,true,
295,TEA-0025,Coorg Roast Masala Chai 500 g #2,9,each,2,185.00,true,
296,TEA-0026,Chai Adda Cardamom Tea Refill,9,each,1,160.00,true,
297,TEA-0027,Nilgiri Hills Darjeeling Leaf Tea Refill,9,each,2,155.00,true,
298,TEA-0028,Nilgiri Hills Instant Coffee 250 g,9,each,1,319.00,true,
299,TEA-0029,Assam Trail Green Tea 1 kg,9,each,1,310.00,true,
300,TEA-0030,Assam Trail Masala Chai Premium,9,each,4,285.00,true,
301,TEA-0031,Nilgiri Hills Masala Chai 500 g #2,9,each,1,260.00,true,
302,TEA-0032,Nilgiri Hills Darjeeling Leaf Tea 500 g,9,each,1,379.00,true,
303,TEA-0033,Coorg Roast Cardamom Tea 1 kg #2,9,each,1,420.00,true,
304,BEV-0001,Aamras Packaged Water 600 ml,10,each,1,40.00,true,
305,BEV-0002,Sharbat Co Packaged Water 6 Pack,10,each,1,59.00,true,
306,BEV-0003,Coolwave Lemon Soda 250 ml,10,each,1,25.00,true,
307,BEV-0004,Coolwave Energy Drink 2 L,10,each,1,105.00,true,
308,BEV-0005,Sharbat Co Orange Juice 600 ml,10,each,1,60.00,true,
309,BEV-0006,Sharbat Co Packaged Water 2 L,10,each,4,75.00,true,
310,BEV-0007,Sharbat Co Packaged Water 600 ml,10,each,1,49.00,true,
311,BEV-0008,Coolwave Orange Juice 6 Pack,10,each,1,49.00,true,
312,BEV-0009,Fizz Bazaar Mango Drink 250 ml,10,each,2,25.00,true,
313,BEV-0010,Fizz Bazaar Cola 2 L,10,each,1,50.00,true,
314,BEV-0011,Coolwave Nimbu Pani 1.25 L,10,each,1,90.00,true,
315,BEV-0012,Aamras Coconut Water 250 ml,10,each,1,40.00,true,
316,BEV-0013,Aamras Jaljeera 2 L,10,each,2,70.00,true,
317,BEV-0014,Aamras Cola 6 Pack,10,each,1,75.00,true,
318,BEV-0015,Coolwave Energy Drink 2 L #2,10,each,1,105.00,true,
319,BEV-0016,Coolwave Energy Drink 600 ml,10,each,1,70.00,true,
320,BEV-0017,Sharbat Co Orange Juice 600 ml #2,10,each,2,55.00,true,
321,BEV-0018,Sharbat Co Cola 2 L,10,each,1,65.00,true,
322,BEV-0019,Sharbat Co Nimbu Pani 250 ml,10,each,1,20.00,true,
323,BEV-0020,Sharbat Co Packaged Water 6 Pack #2,10,each,2,90.00,true,
324,BEV-0021,Aamras Lemon Soda 600 ml,10,each,1,39.00,true,
325,BEV-0022,Fizz Bazaar Packaged Water 600 ml,10,each,1,39.00,true,
326,BEV-0023,Aamras Lemon Soda 250 ml,10,each,1,29.00,true,
327,BEV-0024,Fizz Bazaar Lemon Soda 250 ml,10,each,1,50.00,true,
328,BEV-0025,Sharbat Co Cola 2 L #2,10,each,1,135.00,true,
329,BEV-0026,Sharbat Co Energy Drink 600 ml,10,each,1,69.00,true,
330,BEV-0027,Fizz Bazaar Lemon Soda 6 Pack,10,each,1,120.00,true,
331,BEV-0028,Coolwave Mango Drink 600 ml,10,each,4,25.00,true,
332,BEV-0029,Fizz Bazaar Lemon Soda 600 ml,10,each,1,60.00,true,
333,BEV-0030,Fizz Bazaar Orange Juice 1.25 L,10,each,1,79.00,true,
334,BEV-0031,Coolwave Packaged Water 600 ml,10,each,4,45.00,true,
335,BEV-0032,Aamras Energy Drink 250 ml,10,each,1,25.00,true,
336,BEV-0033,Sharbat Co Jaljeera 1.25 L,10,each,1,170.00,true,
337,SWT-0001,Mithas Rasgulla Tin 500 g Box,11,each,2,170.00,true,
338,SWT-0002,Cocoa Bazaar Rasgulla Tin Assorted,11,each,1,220.00,true,
339,SWT-0003,Kesari Dark Chocolate Gift Box,11,each,2,165.00,true,
340,SWT-0004,Cocoa Bazaar Dry Fruit Box 500 g Box,11,each,1,250.00,true,
341,SWT-0005,Chitale Wadi Motichoor Ladoo Gift Box,11,each,1,265.00,true,
342,SWT-0006,Chitale Wadi Rasgulla Tin 500 g Box,11,each,1,115.00,true,
343,SWT-0007,Chitale Wadi Milk Chocolate Gift Box,11,each,4,320.00,true,
