doc_id,doc_type,filename,pages,title,subject,effective_from,effective_to,source_table,source_key,injected_difficulty,sha256
contract-sup-10-20250112,contract,sources/contracts/contract-sup-10-20250112.pdf,1,SUPPLY AGREEMENT — Softwrap Paper Mills,supplier 10 terms,2025-01-12,2025-11-07,supplier_terms,19,,2cfaa9be1c45ab19dd6635f1fda26fa3e9480936c3d86ec4a79fbe52b3eec290
contract-sup-10-20251107,contract,sources/contracts/contract-sup-10-20251107.pdf,1,SUPPLY AGREEMENT — Softwrap Paper Mills,supplier 10 terms,2025-11-07,,supplier_terms,20,,266943ec02d2e1866d18d763a2352882610a0b7db59047522e113a79ec7e3e11
contract-sup-11-20230907,contract,sources/contracts/contract-sup-11-20230907.pdf,1,SUPPLY AGREEMENT — Arogya Consumer Care,supplier 11 terms,2023-09-07,2025-07-13,supplier_terms,21,,fe006ff2868c6df85db01bf4e3461bb1079273ca90993132891ae42c0be52d39
contract-sup-11-20250713,contract,sources/contracts/contract-sup-11-20250713.pdf,1,SUPPLY AGREEMENT — Arogya Consumer Care,supplier 11 terms,2025-07-13,,supplier_terms,22,,f2c6fff204de3a22e2050d81caea50cb1e9886700b72ff0dbee2168daddead16
contract-sup-12-20240812,contract,sources/contracts/contract-sup-12-20240812.pdf,1,SUPPLY AGREEMENT — Deepmala Festive Supplies,supplier 12 terms,2024-08-12,2025-12-18,supplier_terms,23,,6b85baac3e77b899bbdc135d2014a53586573fe55aa8765040ec43a284df4709
contract-sup-12-20251218,contract,sources/contracts/contract-sup-12-20251218.pdf,1,SUPPLY AGREEMENT — Deepmala Festive Supplies,supplier 12 terms,2025-12-18,,supplier_terms,24,,db5cd06d61cc5dea98501618a887721bf4d2342a20b91a203422e4ab373ed06c
invoice-sup-01-5316,invoice,sources/invoices/invoice-sup-01-5316.pdf,1,TAX INVOICE 5316 — Sahyadri Agro Traders,purchase order 5316,2026-06-30,2026-06-30,purchase_orders,5316,totals-above-line-items,eb2d8bd9beb7631e23f9e4ce09609299c436bf31e2df1593ec88945aba15d470
invoice-sup-03-10305,invoice,sources/invoices/invoice-sup-03-10305.pdf,1,TAX INVOICE 10305 — Gokul Dairy Distributors,purchase order 10305,2026-05-31,2026-05-31,purchase_orders,10305,,5ce3c1f348ff4dff2bacc1015c66a4d8c006853ad698fe532c6efdfd98acd1e0
invoice-sup-03-14107,invoice,sources/invoices/invoice-sup-03-14107.pdf,1,TAX INVOICE 14107 — Gokul Dairy Distributors,purchase order 14107,2025-12-16,2025-12-16,purchase_orders,14107,,bc180328bcad0233518e037a8fa71c1a094b299246b7388fad4a07f625f1f979
invoice-sup-05-9119,invoice,sources/invoices/invoice-sup-05-9119.pdf,1,TAX INVOICE 9119 — Bhusari Foods Pvt Ltd,purchase order 9119,2026-01-30,2026-01-30,purchase_orders,9119,,bc2914b6c7c4fb4dff2afbbc64e32abe6b98c4d66611ba11d0cbdf2c15cf6ffb
invoice-sup-06-14543,invoice,sources/invoices/invoice-sup-06-14543.pdf,1,TAX INVOICE 14543 — Jhat Pat Foods,purchase order 14543,2026-02-01,2026-02-01,purchase_orders,14543,scanned-200dpi-skewed signature-block,658bb3809d4ca8702ec847d9fd270c8815fd9a413d56a42dde70bd1d543677f0
invoice-sup-06-1764,invoice,sources/invoices/invoice-sup-06-1764.pdf,1,TAX INVOICE 1764 — Jhat Pat Foods,purchase order 1764,2025-07-08,2025-07-08,purchase_orders,1764,,75cd014ee5169bf6f6c3582007e4995fba05225a7517f462f28193c1103f35f0
invoice-sup-07-4672,invoice,sources/invoices/invoice-sup-07-4672.pdf,1,TAX INVOICE 4672 — Nilgiri Beverage Company,purchase order 4672,2026-04-19,2026-04-19,purchase_orders,4672,scanned-200dpi-skewed,68d20163728c02554c1816aece2914e08ab502241bc7afe8122e9df090e50ccd
invoice-sup-10-14562,invoice,sources/invoices/invoice-sup-10-14562.pdf,1,TAX INVOICE 14562 — Softwrap Paper Mills,purchase order 14562,2026-02-02,2026-02-02,purchase_orders,14562,,255c5b67b666519cb1690c351ed5ad6863a05b46b12891b4fa8dea08fb5f32b0
invoice-sup-10-15385,invoice,sources/invoices/invoice-sup-10-15385.pdf,1,TAX INVOICE 15385 — Softwrap Paper Mills,purchase order 15385,2026-04-25,2026-04-25,purchase_orders,15385,,4c793c48349135e768e94c7d4ce536bc4c1c56f938de459371d2edec2f142225
invoice-sup-12-5436,invoice,sources/invoices/invoice-sup-12-5436.pdf,2,TAX INVOICE 5436 — Deepmala Festive Supplies,purchase order 5436,2025-01-06,2025-01-06,purchase_orders,5436,table-spans-page-break,a163a100a939736b76246799f6282092bc417e4d31186049c024af125c5d099a
policy-cold-chain,policy,sources/policies/policy-cold-chain.pdf,1,COLD CHAIN AND PERISHABLE HANDLING,chain policy,2025-09-01,,(none — free-standing),,scanned-200dpi-skewed,675ac295d46482a7189cc538b3b446841dd4ecec3dc0a35e69a2cc1d2bc14be7
policy-procurement-authority,policy,sources/policies/policy-procurement-authority.pdf,1,PROCUREMENT AUTHORITY AND APPROVAL LIMITS,chain policy,2025-06-15,,(none — free-standing),,,08c8705c12ac871956e3f8cc0245ec7324745e8ba3fef5f02edc5c6dd1b415bc
policy-returns,policy,sources/policies/policy-returns.pdf,1,GOODS RETURN AND CREDIT NOTE POLICY,chain policy,2025-01-01,,(none — free-standing),,,c9cc27b67aaeed8641e8269ad2b4bcca1b6d0a55674740c882447297a5b7575a
