doc_id,doc_type,injected_difficulty,pages,chars,tables,ocr_used,parse_seconds,sha256
contract-sup-08-20240905,contract,,1,520,0,False,1.1,4a3b5eb5f195a74813cc7cd81fc9cbedb2dd7a0a785d49e25dcf0a97ff1c5787
contract-sup-08-20250729,contract,,1,524,0,False,1.1,d4584d8545d5ad6c465c666aaca7a8c1ff2b6d61fc0e02e4da1734cad5e16194
contract-sup-09-20240212,contract,,1,529,0,False,1.1,8eb1beee3936f6ae76f0f4b93bcbc616d926cc6062d67b3b27f1cb5adab6aff2
contract-sup-09-20250909,contract,clause-level-amendment,1,426,0,False,1.2,380b9f020d24c4f2399fca217a4ef0c77149e2922a020fe20a6b22d49df52a30
contract-sup-10-20250112,contract,,1,524,0,False,1.1,e6d4bb927d1399c1a89fc755dc33637d57859a718ff8c0795f7ac61cdea2ae57
contract-sup-10-20251107,contract,,1,528,0,False,1.1,4b50d90f52feefccccf77b2e0c8c7c25341fce8f5312fbb00abf1b4afde8aee6
contract-sup-11-20230907,contract,,1,522,0,False,1.1,622a8f90f9da7c6d717a539d8b5e73462d2037c1003f8e2bd51f3cbd01cebb91
contract-sup-11-20250713,contract,,1,520,0,False,1.1,438c78b6ed3949fa6ddaa7e4ca0b7f6e286e0ab65d2f01f5602fa0019fd05ba2
contract-sup-12-20240812,contract,,1,526,0,False,1.1,e82d05ef12d0c18b40b7813ad95760ce48edf35f75550eb1cbc265f06521e5df
contract-sup-12-20251218,contract,,1,533,0,False,1.2,3f6b7e8a85631931fb5893ce3a4e1dd2a824ca7bf7319d9a332f3518e16694a2
invoice-sup-01-5316,invoice,totals-above-line-items,1,657,2,False,3.9,f08926542ff51d8ec6702ea8d68ccae7d5758af98c099e607c313984182f38bb
invoice-sup-03-10305,invoice,,1,780,2,False,4.2,48c12a1d7f2a85d2c78ac0a72a5f197467de4cc6605777afe2847a15c3c6f5c1
invoice-sup-03-14107,invoice,,1,748,2,False,4.3,7b8e0e02766f2b2cb5335c3c68406f93de781553d3e94a87dcb5a9f8f89eebf2
invoice-sup-05-9119,invoice,,1,1020,2,False,5.0,c42aedb544de7155687221fd168865b1ab6356a172206bd68c5e9c2bbe83b1c5
invoice-sup-06-14543,invoice,scanned-200dpi-skewed signature-block,1,1775,1,True,9.8,f374cc54935bae8c9656959cc28d811842fe71e1a5fb80e58f2c852215ddff24
invoice-sup-06-1764,invoice,,1,756,2,False,4.2,d61c687a82dc55050fae9f16e6af001b08bd113e3004b6d9294a081d19350978
invoice-sup-07-4672,invoice,scanned-200dpi-skewed,1,828,1,True,5.7,78e6d6feca0dcb75b7fc82a0b07f1b16c4f83fec34b3e036d14fe5c3e74bbb79
invoice-sup-10-14562,invoice,,1,766,2,False,4.2,e463acdf6e21231e65c07b240d75cae3ff72ddc98ffa2490db456405eabb1801
invoice-sup-10-15385,invoice,,1,810,2,False,4.7,beb08fe5119504a25060a69cd93556ac8f4d6d6b4e28daf36dc11ffc1f2d0579
invoice-sup-12-5436,invoice,table-spans-page-break,2,5195,3,False,22.3,88d54bb50b9fda52aab57de4c0e798403ca0b5982c46b352145f2fbc41cc9168
policy-cold-chain,policy,scanned-200dpi-skewed,1,402,0,True,2.6,eb78dd847a7523fe9141d35a4c2508e1d444e12827fb242cb994117104223774
policy-procurement-authority,policy,,1,504,0,False,1.1,71eac34564a87c2cdf0c8023fe3810f3b3df9de9f24cbedf52579b957ec95119
policy-returns,policy,,1,616,0,False,1.0,b818717b0800dc997f15c506f2730d37968f321cd1f0947a06f57c7d43aaa9f2
