doc_id,doc_type,injected_difficulty,valid,readable,n_records,reconciles,n_errors,errors,response_sha256
contract-sup-11-20230907,contract,,True,True,5,,0,,3b90dfe17c7eda626aa749e53a1bdcdcf157cb6123cdf8b846ce6ee97f6b6230
contract-sup-11-20250713,contract,,True,True,5,,0,,73cd94e7d3a9bd37b3d7703dcf656a45cd9110f0914edf29a93c5338bf348b2e
contract-sup-12-20240812,contract,,True,True,5,,0,,a9cafee327a612fedbff807bf3350db006e9d7761c5fd5222d46f8dc02afc795
contract-sup-12-20251218,contract,,True,True,5,,0,,b77cb611015e58916893415b3e52ef1a4f593b85227066ae5d4e200ab0ff7c2f
invoice-sup-01-5316,invoice,totals-above-line-items,True,True,1,True,0,,50918ec09e97c281839754b26ab2fd92ec563a03368d3a91d8a1ad55c2e129cb
invoice-sup-03-10305,invoice,,True,True,2,True,0,,08e04fe327d6aa0aa6d32b9f09854d317d1cb981394facb17153b19465990624
invoice-sup-03-14107,invoice,,True,True,2,True,0,,9762ac17cc8403ae80509cb3fe489fbde9cf3aa40e9de6067d15d5f910b84dd6
invoice-sup-05-9119,invoice,,True,True,4,True,0,,885b23cd1fdcb6737b3869a272726f4225a7171ea17a9a41d34d5dc0d010fa4e
invoice-sup-06-14543,invoice,scanned-200dpi-skewed signature-block,True,True,4,True,0,,b5e71b5eb4ee030e8509be0167858d1eeea69e9615e9ee938e1ff72a80183c00
invoice-sup-06-1764,invoice,,True,True,2,True,0,,eb106e9434c2812fd5c5e9d72f19b312f20e8ca6b8f8e66e1b792535dd9c915a
invoice-sup-07-4672,invoice,scanned-200dpi-skewed,True,True,4,True,0,,38587b7c9ca6510d7245abece8eda7fc45fc913717ef0318367438cd9a63c3af
invoice-sup-10-14562,invoice,,True,True,2,True,0,,c211807b45cfeccd199b12e99564cbe5374394cbb29bf6cebc809f49db34d3af
invoice-sup-10-15385,invoice,,True,True,1,True,0,,263ee65414f9f2907f6ba69c5926405574fb3affb7b244c916c21383cb474f64
invoice-sup-12-5436,invoice,table-spans-page-break,True,True,41,True,0,,32d4effd3f3b82c4d79c6a82ff9bc5c847ac3dc852f818ed32901dfe0eb00390
policy-cold-chain,policy,scanned-200dpi-skewed,True,True,3,,0,,24c30d8745ffd2fb01d3bcdc0f13586fc1b6ab994836c5f329cc2fc85c507a2d
policy-procurement-authority,policy,,True,True,3,,0,,5eaba07becde183698483909c7e8e75938497155bdb97aa38f11fbccafbc9488
policy-returns,policy,,True,True,4,,0,,2f75870ccc401b7350c6adeb7ad175b39a770a4f54594e6348db36aa5da2ea1a
